	genus		summe_all	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
dc41692600de807e3e76f265cdc14075	[Ruminococcus]_torques_group		3	0	0	0	0	0	0	1	2	0	0	0	0
d2ed5fe0443294c72f4a4dd352e80e8c	Bacteroides		3	2	0	1	0	0	0	0	0	0	0	0	0
151206cd8a297dcb1bd344ae264fe653	Bifidobacterium		3	1	0	0	0	0	0	0	0	1	0	0	1
821130ba72e86c335c55c269f31db0d0	Clostridium_sensu_stricto_1		3	3	0	0	0	0	0	0	0	0	0	0	0
8ba3f0c27ab7b514843076e746e5b46e	Clostridium_sensu_stricto_1		3	3	0	0	0	0	0	0	0	0	0	0	0
0bb566f8b29dc11240b7ba54bf9ebbea	Faecalibacterium		3	0	0	0	0	0	0	0	3	0	0	0	0
19a36b16af23deb4230ba84ab6f02f01	Lachnoclostridium		3	0	0	0	0	0	0	0	1	1	0	0	1
29daaf94c6c9c41e5044aa321d18a306	Lactobacillus		3	0	0	1	0	0	0	0	1	0	1	0	0
2b89ce136d3773b8a3b5650166760ae4	Lactobacillus		3	3	0	0	0	0	0	0	0	0	0	0	0
2ef1e51ab1cf99a3c6417b05a060830e	Lactobacillus		3	3	0	0	0	0	0	0	0	0	0	0	0
581a55014641e1cd55cdc272c0365a28	Lactobacillus		3	0	0	0	0	0	0	0	0	1	0	1	1
04edaa963304c466674c30f9f9bb087e	Paeniclostridium		3	0	0	0	0	0	0	0	3	0	0	0	0
46206609ca80309cad2b3040af792d04	Streptococcus		3	3	0	0	0	0	0	0	0	0	0	0	0
3b94c19ef326eea0918e1c3d244c999c	unclassified_Enterobacterales		3	2	0	1	0	0	0	0	0	0	0	0	0
4d72007c70f4abc0bf9e8fe8b826d07d	unclassified_Enterobacteriaceae		3	2	0	0	0	0	1	0	0	0	0	0	0
333bbf9224442fc10cd497377d2b1d01	Bacteroides		2	0	0	0	0	1	0	0	0	0	0	0	1
b4745d43d21df0ee0e8d7aeb0e44c674	Clostridium_sensu_stricto_1		2	0	0	0	0	0	0	0	0	0	2	0	0
5fbc483f79cd97d3a7253931f37c33e8	Flavonifractor		2	0	0	0	0	0	0	1	1	0	0	0	0
bd7bb5b11e9ccba1afbf45d9e0d5808a	Lactobacillus		2	2	0	0	0	0	0	0	0	0	0	0	0
58bd181f757283f5a4ceebdf90ff6243	Sellimonas		2	0	0	0	0	0	0	0	0	0	0	1	1
fd2eb1fe2266eed160a855f715f7c77e	Streptococcus		2	2	0	0	0	0	0	0	0	0	0	0	0
2084f48082d0e7376174d0dbe6af5c82	Veillonella		2	2	0	0	0	0	0	0	0	0	0	0	0
3bae00d865b43e800a6f297f958ac2de	Veillonella		2	1	0	0	0	0	0	0	1	0	0	0	0
f02fd9ee0080b01bea5d41ed9f9568ac	Veillonella		2	1	0	0	1	0	0	0	0	0	0	0	0
cd9ca840390c8c0d54da8c1a984f2b37	[Ruminococcus]_gnavus_group		1	1	0	0	0	0	0	0	0	0	0	0	0
9e3226efaf559eb14a478f880462cb8a	[Ruminococcus]_torques_group		1	0	0	0	0	0	0	0	0	0	0	1	0
a553a33230e324c88c51d9bfb08d062f	Actinomyces		1	1	0	0	0	0	0	0	0	0	0	0	0
a814e18dc6c018749b8c0e8f314a63aa	Actinomyces		1	0	0	0	0	0	1	0	0	0	0	0	0
9d5054752ed33d6a22bd0f96b5618b1c	Bacteroides		1	1	0	0	0	0	0	0	0	0	0	0	0
df37b62e507e32409df4885c1ad2ce14	Bacteroides		1	0	0	0	0	0	0	0	0	1	0	0	0
1ba2407961431f69843a890cea53f8d3	Bifidobacterium		1	0	0	0	0	0	0	0	1	0	0	0	0
61e8588388ce05627683adb6fe72cb0f	Bifidobacterium		1	0	0	0	0	0	0	1	0	0	0	0	0
62322d8f0c52d7c97ae5dafb19334a3f	Bifidobacterium		1	1	0	0	0	0	0	0	0	0	0	0	0
9fea59e9a8b7f4d8d68f804396fe13ce	Bifidobacterium		1	0	0	0	0	0	0	0	1	0	0	0	0
c1df75b5732336ae58bbcf0736be0636	Blautia		1	0	0	0	0	0	0	0	0	0	0	1	0
9acb555d3c5dd77e9035a661e7ad1bb6	Clostridium_sensu_stricto_1		1	0	0	0	0	0	0	0	0	0	1	0	0
db49c9326687071f8b4d0851a2833629	Clostridium_sensu_stricto_1		1	1	0	0	0	0	0	0	0	0	0	0	0
dfba942f2d36cb6b7755f9c3b6d01ac9	Clostridium_sensu_stricto_1		1	0	0	0	0	0	1	0	0	0	0	0	0
86cd044527a4e41b4c2cd5a0818e69de	Collinsella		1	1	0	0	0	0	0	0	0	0	0	0	0
e5e2076556acf09b18e99c982a375e75	Enterococcus		1	0	0	0	1	0	0	0	0	0	0	0	0
e9f900358bb9297e10b9fbb1321b1e6e	Erysipelatoclostridium		1	0	0	0	0	0	0	0	0	0	0	1	0
8568edfdaba037a8c6845fdd3278f9a2	Escherichia-Shigella		1	1	0	0	0	0	0	0	0	0	0	0	0
9c4d4b6d306824a963a9ea03bf5ed140	Escherichia-Shigella		1	0	0	0	0	0	0	1	0	0	0	0	0
2d97401e7e4d05483a133b0251197e8a	Faecalibacterium		1	0	0	0	0	0	0	0	0	0	0	0	1
bd45b10f13864b92fe50e828cb62c395	Faecalibacterium		1	0	0	0	0	0	0	0	0	0	0	0	1
ce91e3de3976b4fde6a9666393ad44ca	Faecalibacterium		1	0	0	0	0	0	0	0	0	0	0	0	1
22b3c70cdfb1714224e1bf8a6314bee9	Finegoldia		1	1	0	0	0	0	0	0	0	0	0	0	0
47f770032218f91b352999ff1f663807	Lachnoclostridium		1	0	0	0	0	1	0	0	0	0	0	0	0
3916a456bb0a3bfd02c15fd537ff5923	Megasphaera		1	0	0	0	0	0	0	0	0	0	0	1	0
6d7f932303cb8ce3b13ec6d15b25682e	Megasphaera		1	0	0	0	0	1	0	0	0	0	0	0	0
16ed06b7cd5762d8eaa4cbfd0d1e1880	Parabacteroides		1	1	0	0	0	0	0	0	0	0	0	0	0
d8e7f9181e4d5a4a6453e9ca9996a43f	Parabacteroides		1	0	0	0	0	0	1	0	0	0	0	0	0
1569f7ae988e26c905ab8fab427c8a0d	Phascolarctobacterium		1	1	0	0	0	0	0	0	0	0	0	0	0
1739d8f19c1ac366a2138b64b03047a9	Rothia		1	1	0	0	0	0	0	0	0	0	0	0	0
2721fd42d5373667f111c60faaf21eac	Rothia		1	1	0	0	0	0	0	0	0	0	0	0	0
3db80fc0b97d3daef63917e652004908	Streptococcus		1	0	0	0	1	0	0	0	0	0	0	0	0
9fec7bdd6bd88e710bd69b15692e54a0	Streptococcus		1	0	0	0	0	0	1	0	0	0	0	0	0
4ca30a8de743724c9b6a36cd55a7e2ec	Sutterella		1	1	0	0	0	0	0	0	0	0	0	0	0
4552af3e905206840cf8b67bcaf2693f	unclassified_Enterobacteriaceae		1	0	0	0	0	0	1	0	0	0	0	0	0
4cbfff144d4e7a4e0f4619ed505be070	unclassified_Enterobacteriaceae		1	0	0	0	1	0	0	0	0	0	0	0	0
55e8fd9e2a3868ef69575fcb459fc7c5	unclassified_Lachnospiraceae		1	1	0	0	0	0	0	0	0	0	0	0	0
a0c5ddef9459b3e5322d7e79cacbe65b	#NV		1	0	0	0	0	0	0	0	0	0	0	1	0
b1f85d9d7f7cc539c1e825688d11c3a1	#NV		1	0	0	0	0	0	0	0	0	0	0	1	0
															
															
															
															
															
													1		
