genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
MAG001	i04S3.sorted.bam	i19S3.sorted.bam	0.97659097627481	2247402	6820	1406	0.9993743887386414	0.9969653849200099	0.9543063705434921
MAG001	i04S3.sorted.bam	i21S3.sorted.bam	0.9890196707795478	2323958	9087	3980	0.9982874045055892	0.9960898604880123	0.9868140743291645
MAG001	i04S3.sorted.bam	i21SM01.sorted.bam	0.989357885848576	2324816	9085	3012	0.9987044135966029	0.9960921638529673	0.9871784038376041
MAG001	i04S3.sorted.bam	i22S3.sorted.bam	0.9836606922581953	2273291	6937	1611	0.9992913357770739	0.9969484768997898	0.9652995251402223
MAG001	i04S3.sorted.bam	i23S2.sorted.bam	0.9874879152942898	2290335	9239	452	0.999802648957467	0.9959660922965418	0.9725368586388768
MAG001	i04S3.sorted.bam	i23S3.sorted.bam	0.9735720079615262	2249773	11386	1550	0.9993110416028639	0.994939044961425	0.9553131598960685
MAG001	i04S3.sorted.bam	i25S3.sorted.bam	0.922510943833549	2117906	17764	7323	0.9965423394617136	0.9916124700529674	0.8993189416100392
MAG001	i04S3.sorted.bam	i25SM01.sorted.bam	0.8909736670384745	2051537	6806	1372	0.9993312331193637	0.9966824873253566	0.8711369076407711
MAG001	i04S3.sorted.bam	i28S3.sorted.bam	0.7672541483974563	1766998	5427	1281	0.999275041624269	0.996928689223191	0.7503141174287509
MAG001	i04S3.sorted.bam	i30SM01.sorted.bam	0.980495202940265	2258176	6006	1765	0.9992183957317764	0.9973403313116427	0.9588812960958569
MAG001	i04S3.sorted.bam	i32S2.sorted.bam	0.9918661889511263	2311548	11790	253	0.999890549536501	0.9948995218788448	0.9815444598772575
MAG001	i04S3.sorted.bam	i32S3.sorted.bam	0.9919497547392248	2310185	11041	185	0.9999199198332601	0.9952207290758099	0.9809656940031278
MAG001	i04S3.sorted.bam	i32SM01.sorted.bam	0.9821197606805457	2267823	6203	87	0.9999616372177194	0.9972647777185433	0.9629776676202362
MAG001	i09S2.sorted.bam	i09S3.sorted.bam	0.9986477595094747	2294110	51	0	1.0	0.9999777691566665	0.974139823550718
MAG001	i09S2.sorted.bam	i10S3.sorted.bam	0.9878255744722966	2268277	6892	6475	0.9971454103709556	0.9969615703902125	0.9631704480361238
MAG001	i09S2.sorted.bam	i10SM01.sorted.bam	0.9845155851362725	2263024	5710	2237	0.999011499657096	0.9974768274662575	0.960939885206481
MAG001	i09S2.sorted.bam	i14SM01.sorted.bam	0.9715983380929412	2220088	6880	6612	0.9970217396787875	0.996901023743203	0.9427081232316962
MAG001	i09S2.sorted.bam	i19S3.sorted.bam	0.9806685249993224	2246676	7562	6892	0.9969323569575675	0.9966341386118871	0.9539980917286586
MAG001	i09S2.sorted.bam	i21S3.sorted.bam	0.9858695327437393	2296204	3262	2997	0.9986948023781859	0.9985793945137279	0.9750289913720148
MAG001	i09S2.sorted.bam	i21SM01.sorted.bam	0.986179365933956	2297045	3267	2413	0.9989495199266885	0.9985777379198056	0.9753861022305204
MAG001	i09S2.sorted.bam	i22S3.sorted.bam	0.9879932969099399	2272350	7803	7508	0.9966959315246331	0.9965661099742558	0.9648999516350455
MAG001	i09S2.sorted.bam	i23S2.sorted.bam	0.9853070819849561	2267176	9148	3234	0.9985735558245147	0.995965024329827	0.962702934296273
MAG001	i09S2.sorted.bam	i23S3.sorted.bam	0.9752726834080824	2237651	11463	5689	0.9974576017439717	0.9948772172246699	0.9501658378665747
MAG001	i09S2.sorted.bam	i25S3.sorted.bam	0.9268080202719959	2117873	18285	12024	0.9943226057464257	0.9913663378304554	0.8993049289366377
MAG001	i09S2.sorted.bam	i25SM01.sorted.bam	0.8936811852005894	2047200	6884	5467	0.99732952325127	0.9966373583431027	0.8692953026546373
MAG001	i09S2.sorted.bam	i28S3.sorted.bam	0.76903668548275	1764280	5735	5443	0.996914888793162	0.9967493821842338	0.7491599826922252
MAG001	i09S2.sorted.bam	i30SM01.sorted.bam	0.9847786309997232	2257948	6483	6081	0.9973068467475779	0.997128808989401	0.9587844812614463
MAG001	i09S2.sorted.bam	i32S2.sorted.bam	0.9892113543123152	2287784	11741	1804	0.9992114640193305	0.9948679595626161	0.9714536365222922
MAG001	i09S2.sorted.bam	i32S3.sorted.bam	0.9893748291142204	2287109	11148	2052	0.9991027974617738	0.9951257242221512	0.9711670136572611
MAG001	i09S2.sorted.bam	i32SM01.sorted.bam	0.986263708712652	2267669	6965	2759	0.9987833321353337	0.9969285640893799	0.9629122751443624
MAG001	i09S3.sorted.bam	i10S3.sorted.bam	0.9869617201079123	2265698	6849	6488	0.9971364233008989	0.996977090503677	0.9620753363784713
MAG001	i09S3.sorted.bam	i10SM01.sorted.bam	0.9848512820771406	2261931	5675	2234	0.999012348298865	0.9974910817350309	0.9604757684783638
MAG001	i09S3.sorted.bam	i14SM01.sorted.bam	0.9722418222101706	2219381	6852	6657	0.9970005150084641	0.9969126526720739	0.9424079123197301
MAG001	i09S3.sorted.bam	i19S3.sorted.bam	0.9801451424637769	2244586	7490	6909	0.9969219268052104	0.9966630817442503	0.9531106224132286
MAG001	i09S3.sorted.bam	i21S3.sorted.bam	0.9852297743154497	2293561	3111	2907	0.9987325386157159	0.9986435939571696	0.9739067036204927
MAG001	i09S3.sorted.bam	i21SM01.sorted.bam	0.9852688362862735	2294081	3108	2328	0.9989852145586838	0.998645209127315	0.9741275093831834
MAG001	i09S3.sorted.bam	i22S3.sorted.bam	0.9880578762738206	2270857	7735	7520	0.996688474879748	0.9965937969674004	0.9642659843202431
MAG001	i09S3.sorted.bam	i23S2.sorted.bam	0.9849903430405147	2265189	9070	3217	0.9985798094551933	0.995995919104322	0.9618592015069144
MAG001	i09S3.sorted.bam	i23S3.sorted.bam	0.9756762959424908	2236811	11434	5695	0.9974539645951312	0.9948882583284864	0.9498091516345359
MAG001	i09S3.sorted.bam	i25S3.sorted.bam	0.927457359771464	2117307	18252	12023	0.9943215603594566	0.9913796157099561	0.8990645903564781
MAG001	i09S3.sorted.bam	i25SM01.sorted.bam	0.8944937220215542	2046827	6873	5477	0.9973241509907774	0.9966421197297085	0.8691369169825534
MAG001	i09S3.sorted.bam	i28S3.sorted.bam	0.7695667738938686	1763766	5697	5466	0.9969009494456748	0.9967699796911835	0.7489417246883348
MAG001	i09S3.sorted.bam	i30SM01.sorted.bam	0.9848952497583634	2256648	6450	6100	0.9972968757200946	0.9971417784253459	0.9582324668547195
MAG001	i09S3.sorted.bam	i32S2.sorted.bam	0.9884421246770059	2285143	11661	1777	0.9992223681406371	0.9948970370782048	0.9703321980237035
MAG001	i09S3.sorted.bam	i32S3.sorted.bam	0.9886372261494224	2284564	11068	2038	0.9991079260637916	0.995155311910719	0.9700863392994767
MAG001	i09S3.sorted.bam	i32SM01.sorted.bam	0.986509450085252	2266416	6905	2751	0.9987861892962281	0.996953339545785	0.9623802181815712
MAG001	i10S3.sorted.bam	i10SM01.sorted.bam	0.9845840392006941	2249500	5190	790	0.9996488108468549	0.997692820626806	0.9551972368706558
MAG001	i10S3.sorted.bam	i14SM01.sorted.bam	0.9680106493193644	2200743	7201	6976	0.9968301614500193	0.9967279232513746	0.9344937242331353
MAG001	i10S3.sorted.bam	i19S3.sorted.bam	0.9795037489447735	2231285	7988	7379	0.9966929370295592	0.9964200001344516	0.9474626657794805
MAG001	i10S3.sorted.bam	i21S3.sorted.bam	0.9775508361568679	2268530	8250	7632	0.9966357068233613	0.9963632837123599	0.9632778785322021
MAG001	i10S3.sorted.bam	i21SM01.sorted.bam	0.9778782297392253	2269390	8253	6351	0.9972014506100758	0.9963633399283508	0.9636430572935752
MAG001	i10S3.sorted.bam	i22S3.sorted.bam	0.986635097534943	2256544	7878	7406	0.9967179899882298	0.99650882056809	0.9581883057021814
MAG001	i10S3.sorted.bam	i23S2.sorted.bam	0.9822240281401243	2248611	8873	3223	0.9985666707136094	0.996054008452329	0.9548197439417481
MAG001	i10S3.sorted.bam	i23S3.sorted.bam	0.9726988639975508	2221991	11607	5873	0.997356874982842	0.9947763064746887	0.9435161873978508
MAG001	i10S3.sorted.bam	i25S3.sorted.bam	0.9240429834513266	2101035	18048	11858	0.9943561149623876	0.9914099479542225	0.8921550684901259
MAG001	i10S3.sorted.bam	i25SM01.sorted.bam	0.8943174549964815	2037395	7762	5972	0.9970688059998184	0.9961902331163078	0.8651318401485174
MAG001	i10S3.sorted.bam	i28S3.sorted.bam	0.7692992753562399	1752475	6007	5802	0.9966892537696687	0.9965722763520164	0.7441472672526795
MAG001	i10S3.sorted.bam	i30SM01.sorted.bam	0.9954716418125218	2257657	519	214	0.9999052114648063	0.999770115655301	0.9586609149596329
MAG001	i10S3.sorted.bam	i32S2.sorted.bam	0.9856432150390871	2268226	11706	1795	0.9992086326494802	0.9948391386043542	0.9631487920863214
MAG001	i10S3.sorted.bam	i32S3.sorted.bam	0.9859817208513653	2268072	10970	2056	0.9990935032044838	0.9951632928760639	0.9630833996104476
MAG001	i10S3.sorted.bam	i32SM01.sorted.bam	0.9831428507805455	2250347	6862	2748	0.9987788549943631	0.9969506924932021	0.9555568954879616
MAG001	i10SM01.sorted.bam	i14SM01.sorted.bam	0.9726578661417332	2205557	5506	2061	0.9990655421737004	0.9975035784611325	0.936537876043891
MAG001	i10SM01.sorted.bam	i19S3.sorted.bam	0.9819266878914383	2233813	6842	2755	0.9987666827975304	0.9969370757534315	0.9485361214873307
MAG001	i10SM01.sorted.bam	i21S3.sorted.bam	0.9760109244485237	2265916	7681	3859	0.9982969359852704	0.9966102009077124	0.9621679049482147
MAG001	i10SM01.sorted.bam	i21SM01.sorted.bam	0.9758892817521119	2266238	7684	2723	0.9987984492361349	0.9966093587699085	0.9623046346704962
MAG001	i10SM01.sorted.bam	i22S3.sorted.bam	0.982773399103993	2250244	6193	2307	0.9989747778463136	0.9972478540104984	0.9555131589618902
MAG001	i10SM01.sorted.bam	i23S2.sorted.bam	0.9790047995341807	2244009	8422	912	0.9995935845177092	0.9962468956229676	0.9528656129419353
MAG001	i10SM01.sorted.bam	i23S3.sorted.bam	0.9738959657483606	2222361	10905	2687	0.9987909255067021	0.9950930564386254	0.9436732991905346
MAG001	i10SM01.sorted.bam	i25S3.sorted.bam	0.9272060232822695	2104224	17527	8135	0.996133966725976	0.9916705635901881	0.8935092022924733
MAG001	i10SM01.sorted.bam	i25SM01.sorted.bam	0.8925136533342939	2032039	6719	2336	0.998850415764658	0.9966934689737746	0.8628575407928031
MAG001	i10SM01.sorted.bam	i28S3.sorted.bam	0.7737151997566589	1757839	5228	2224	0.9987348101845505	0.9970258937251932	0.7464249636201274
MAG001	i10SM01.sorted.bam	i30SM01.sorted.bam	0.9836121889825961	2241766	5060	705	0.9996855157942444	0.9977428509487609	0.9519131757770983
MAG001	i10SM01.sorted.bam	i32S2.sorted.bam	0.9817537420641603	2262212	10879	145	0.9999359034431786	0.9951909900575189	0.9605950885155101
MAG001	i10SM01.sorted.bam	i32S3.sorted.bam	0.9821376841223424	2262166	10184	177	0.9999217564051445	0.9954981199434524	0.9605755556980413
MAG001	i10SM01.sorted.bam	i32SM01.sorted.bam	0.9862077289555305	2252715	5739	173	0.9999232037785517	0.9974524074283697	0.9565624109611378
MAG001	i14SM01.sorted.bam	i19S3.sorted.bam	0.9722654695624019	2203066	6164	5639	0.9974403853538659	0.9972020810997038	0.9354801315153093
MAG001	i14SM01.sorted.bam	i21S3.sorted.bam	0.9615638717629124	2225316	8495	7964	0.9964211824298213	0.9961825646335172	0.9449280703996712
MAG001	i14SM01.sorted.bam	i21SM01.sorted.bam	0.9613777222992473	2225509	8495	6444	0.9971044826149883	0.9961828956881325	0.9450100233077467
MAG001	i14SM01.sorted.bam	i22S3.sorted.bam	0.9726853988440384	2210704	5675	5451	0.9975342696263272	0.997432944437609	0.9387234284680623
MAG001	i14SM01.sorted.bam	i23S2.sorted.bam	0.9696761081169881	2214614	8273	2737	0.9987641187132386	0.996264360290326	0.9403837179529098
MAG001	i14SM01.sorted.bam	i23S3.sorted.bam	0.9645802422355545	2190095	11176	5271	0.997593255087108	0.9948970250148966	0.9299723016155763
MAG001	i14SM01.sorted.bam	i25S3.sorted.bam	0.9242263120571212	2082034	16598	10475	0.9949688621799644	0.9920279880155656	0.8840867409961143
MAG001	i14SM01.sorted.bam	i25SM01.sorted.bam	0.886991669323366	1998322	5955	4705	0.9976455245951353	0.9970199997798153	0.8485404102146444
MAG001	i14SM01.sorted.bam	i28S3.sorted.bam	0.769332417492118	1735172	4766	4564	0.9973697132042242	0.9972532982321061	0.7367999554991463
MAG001	i14SM01.sorted.bam	i30SM01.sorted.bam	0.9693323351190679	2198720	7143	6732	0.9969382185999127	0.9967512916606025	0.933634704890975
MAG001	i14SM01.sorted.bam	i32S2.sorted.bam	0.9678361314797823	2219134	11335	1984	0.9991059575492062	0.9948921516231106	0.942303029582452
MAG001	i14SM01.sorted.bam	i32S3.sorted.bam	0.9682481921107993	2218439	10661	1890	0.9991480495970365	0.9951943686529131	0.9420079141880866
MAG001	i14SM01.sorted.bam	i32SM01.sorted.bam	0.9712025070051254	2207400	5693	2279	0.9989675636495424	0.9974209477213011	0.9373204626220429
MAG001	i19S3.sorted.bam	i21S3.sorted.bam	0.9746413463399165	2252798	9048	8144	0.9963849399724254	0.9959836612070856	0.956597654957875
MAG001	i19S3.sorted.bam	i21SM01.sorted.bam	0.9747696483471916	2253415	9045	6649	0.997049367293641	0.9959860922200305	0.9568596494878367
MAG001	i19S3.sorted.bam	i22S3.sorted.bam	0.9805654491881016	2236118	7698	7022	0.9968597363824271	0.9965574267547598	0.9495148854931038
MAG001	i19S3.sorted.bam	i23S2.sorted.bam	0.9833129756852769	2246803	7776	632	0.9997187114313093	0.9965390824206661	0.9540520192899311
MAG001	i19S3.sorted.bam	i23S3.sorted.bam	0.9753959953650391	2222060	11592	3529	0.9984118340638867	0.9947832191749998	0.943545486624054
MAG001	i19S3.sorted.bam	i25S3.sorted.bam	0.9294966013347051	2104823	18268	11396	0.9945857680194486	0.991320885414118	0.8937635535460344
MAG001	i19S3.sorted.bam	i25SM01.sorted.bam	0.8907144046690713	2019103	7428	5769	0.9971427906352475	0.9963211386442395	0.857364572819405
MAG001	i19S3.sorted.bam	i28S3.sorted.bam	0.7816384867763295	1766591	427	301	0.9998296153439025	0.9997582915343732	0.7501412944567987
MAG001	i19S3.sorted.bam	i30SM01.sorted.bam	0.9790956848211326	2226685	7894	7089	0.9968163435780094	0.9964548196085212	0.9455093840326011
MAG001	i19S3.sorted.bam	i32S2.sorted.bam	0.9796702524472054	2248578	11631	1943	0.9991358983321904	0.9948273975819385	0.9548057312683466
MAG001	i19S3.sorted.bam	i32S3.sorted.bam	0.9799449596323748	2248381	10985	1986	0.9991166977482909	0.9951142622180138	0.954722079854404
MAG001	i19S3.sorted.bam	i32SM01.sorted.bam	0.9802803111294888	2234544	6686	2654	0.9988122856385911	0.9970078906479354	0.9488465234344977
MAG001	i21S3.sorted.bam	i21SM01.sorted.bam	0.9995775977840718	2353718	29	0	1.0	0.9999876790677558	0.9994509579785402
MAG001	i21S3.sorted.bam	i22S3.sorted.bam	0.9778193454358185	2276045	8314	7640	0.9966433001104987	0.9963471723977337	0.9664689464295496
MAG001	i21S3.sorted.bam	i23S2.sorted.bam	0.9815030863215475	2295211	11143	4902	0.9978642486464208	0.9951451086632123	0.9746073372905689
MAG001	i21S3.sorted.bam	i23S3.sorted.bam	0.9683447305134614	2252590	12939	7004	0.9968906902720868	0.9942559453784311	0.9565093326527987
MAG001	i21S3.sorted.bam	i25S3.sorted.bam	0.9173157324664922	2118019	17530	11501	0.9945699259543942	0.9917233981375994	0.8993669244007777
MAG001	i21S3.sorted.bam	i25SM01.sorted.bam	0.8862184021695327	2052926	8709	6962	0.9966087428382708	0.9957577623353204	0.8717267138030353
MAG001	i21S3.sorted.bam	i28S3.sorted.bam	0.7694342511811223	1776879	6743	6275	0.996468527119742	0.9962051439630949	0.754509851546341
MAG001	i21S3.sorted.bam	i30SM01.sorted.bam	0.9744410842296949	2257817	7693	7120	0.996846511475465	0.9965927265141507	0.958728855194307
MAG001	i21S3.sorted.bam	i32S2.sorted.bam	0.9868855026872533	2318400	13773	3480	0.9984989648033127	0.994059265010352	0.9844540004271742
MAG001	i21S3.sorted.bam	i32S3.sorted.bam	0.9860941123852828	2315416	13168	3792	0.9983622813351899	0.9943129010078534	0.9831869150505029
MAG001	i21S3.sorted.bam	i32SM01.sorted.bam	0.9777257361890621	2271596	8198	3769	0.9983408141236382	0.9963910836257855	0.964579783279144
MAG001	i21SM01.sorted.bam	i22S3.sorted.bam	0.9776832894003074	2276329	8325	6266	0.9972473223334588	0.9963427957909423	0.966589540346096
MAG001	i21SM01.sorted.bam	i23S2.sorted.bam	0.9816000174418308	2295776	11140	3979	0.9982668169716906	0.9951476102198124	0.9748472512442617
MAG001	i21SM01.sorted.bam	i23S3.sorted.bam	0.9681167230034367	2252741	12936	5935	0.9973654317118568	0.9942576621102914	0.9565734512492723
MAG001	i21SM01.sorted.bam	i25S3.sorted.bam	0.9169899142204833	2118040	17529	10519	0.9950336159845895	0.9917239523332892	0.8993758415565787
MAG001	i21SM01.sorted.bam	i25SM01.sorted.bam	0.8859839177371941	2053032	8702	5702	0.9972226443620947	0.9957613909573743	0.8717717242085069
MAG001	i21SM01.sorted.bam	i28S3.sorted.bam	0.769185298738721	1776954	6742	5060	0.9971524305074864	0.9962058668935718	0.7545416985313445
MAG001	i21SM01.sorted.bam	i30SM01.sorted.bam	0.9743816912130122	2258180	7688	5848	0.9974103038730305	0.9965954884021646	0.9588829946017238
MAG001	i21SM01.sorted.bam	i32S2.sorted.bam	0.9872131743168682	2319245	13775	2717	0.9988284980672589	0.994060567124215	0.9848128097915466
MAG001	i21SM01.sorted.bam	i32S3.sorted.bam	0.9864207750484437	2316261	13174	2942	0.998729849529047	0.9943123853486286	0.9835457244148753
MAG001	i21SM01.sorted.bam	i32SM01.sorted.bam	0.9774682804665641	2271720	8193	2701	0.9988110330498476	0.9963934815910411	0.9646324369610163
MAG001	i22S3.sorted.bam	i23S2.sorted.bam	0.9824485291125382	2252966	8998	3311	0.9985303817279089	0.9960061536658786	0.9566689922042827
MAG001	i22S3.sorted.bam	i23S3.sorted.bam	0.9764066132544065	2228428	11300	5676	0.9974529129951697	0.9949291608254788	0.9462495079640817
MAG001	i22S3.sorted.bam	i25S3.sorted.bam	0.9275200951663783	2108468	16696	10667	0.9949408765036984	0.9920814544019639	0.8953113170172029
MAG001	i22S3.sorted.bam	i25SM01.sorted.bam	0.8974807702995813	2042210	6283	5049	0.9975276783484558	0.9969234309889776	0.86717641658574
MAG001	i22S3.sorted.bam	i28S3.sorted.bam	0.7721857559679898	1759034	6062	5734	0.9967402562997645	0.9965537903190046	0.7469323922478494
MAG001	i22S3.sorted.bam	i30SM01.sorted.bam	0.9854992187556528	2248341	7512	7090	0.9968465637552311	0.9966588698066707	0.9547050947957355
MAG001	i22S3.sorted.bam	i32S2.sorted.bam	0.9848728939503396	2271842	11294	1926	0.9991522297765426	0.9950287035806187	0.9646842413899553
MAG001	i22S3.sorted.bam	i32S3.sorted.bam	0.985261569710224	2271630	10602	2031	0.9991059283422036	0.9953328667080467	0.9645942205790121
MAG001	i22S3.sorted.bam	i32SM01.sorted.bam	0.986107006160729	2256746	5906	2168	0.9990393247622905	0.9973829575858337	0.9582740802484574
MAG001	i23S2.sorted.bam	i23S3.sorted.bam	0.9798551381988887	2248371	8066	21	0.9999906599044375	0.9964125137710814	0.9547178335897369
MAG001	i23S2.sorted.bam	i25S3.sorted.bam	0.9255290811196053	2113000	18983	8001	0.9962134406057738	0.9910160908660672	0.8972357241643457
MAG001	i23S2.sorted.bam	i25SM01.sorted.bam	0.8921192652274034	2035895	9330	3114	0.9984704515704396	0.99541724892492	0.864494900448448
MAG001	i23S2.sorted.bam	i28S3.sorted.bam	0.7723777155629296	1765839	5967	534	0.9996975941747803	0.9966208697395402	0.7498219753538307
MAG001	i23S2.sorted.bam	i30SM01.sorted.bam	0.9818812475448858	2243985	8815	3153	0.998594910393786	0.9960717206220184	0.9528554219067342
MAG001	i23S2.sorted.bam	i32S2.sorted.bam	0.9911329357724841	2292533	8627	240	0.999895312303029	0.9962369134926302	0.9734701876127118
MAG001	i23S2.sorted.bam	i32S3.sorted.bam	0.990897026768572	2290678	8068	181	0.9999209840929192	0.996477898683272	0.9726825055169593
MAG001	i23S2.sorted.bam	i32SM01.sorted.bam	0.9831530432856127	2251728	7143	184	0.9999182849793581	0.9968277696062757	0.9561433046384922
MAG001	i23S3.sorted.bam	i25S3.sorted.bam	0.9235503027325188	2095745	19822	10061	0.9951993205280223	0.9905417882423673	0.8899087944812147
MAG001	i23S3.sorted.bam	i25SM01.sorted.bam	0.8904246916639383	2017587	11871	5354	0.9973463350031498	0.9941162388536405	0.8567208390958684
MAG001	i23S3.sorted.bam	i28S3.sorted.bam	0.7721489493866835	1751861	8934	2798	0.9984028413213148	0.99490028033046	0.7438865466021178
