"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"B_i01_S_M11",47,47,9.4166011286879,0.893804570637119,2.82434619989074,7.55285083759426,3,0.314725643896976,0.73356829193673,0.200353215503998,0.278259667373416,0.441138443935927,0.231578947368421,0.397631578947368,880,0.231578947368421,0.106195429362881,0.135789473684211,0.997995656244723,2.03512017492276,0.0134210526315789,0.343157894736842
"B_i01_S_M12",55,55.1428571428571,8.70813281711715,0.885164819944598,2.73903511698349,9.11279293301415,3,0.296803827751196,0.683505710749777,0.158329687583948,0.231105992989292,0.364546783625731,0.219736842105263,0.424473684210526,835,0.219736842105263,0.114835180055402,0.0586842105263158,0.9981605040598,2.03290500585396,0.0160526315789474,0.337631578947368
"B_i01_S1",29,165,1.1086556214675,0.0980066481994458,0.31235582345165,4.26948704219218,1,0.0777676950998185,0.0927616221509425,0.0382295041885346,0.188564564608922,0.0523308270676692,0.949473684210526,0.968421052631579,3608,0.949473684210526,0.901993351800554,0.00105263157894737,0.999788491350862,2.05972296067456,0.0113157894736842,0.0434210526315789
"B_i01_S2",26,27,2.37843072985211,0.579554709141274,1.46508191411641,3.75718517198311,1,0.302834008097166,0.449674187679565,0.0914781049943118,0.19836394740234,0.242884210526316,0.626842105263158,0.764473684210526,2382,0.626842105263158,0.420445290858726,0.0815789473684211,0.999415972126291,2.0475667281292,0.00710526315789474,0.264210526315789
"B_i02_S_M01",26,27.5,5.75952775063319,0.826374653739612,2.02608640376762,3.75718517198311,3,0.395991902834008,0.621861992155084,0.221520298101276,0.144653601480168,0.299936842105263,0.276052631578947,0.485526315789474,1049,0.276052631578947,0.173625346260388,0.304736842105263,0.999162407330663,2.03182707590841,0.00605263157894737,0.294210526315789
"B_i02_S_M02",30,45,2.23129919404361,0.551830609418283,1.38777292923757,4.44269110321192,1,0.137491228070175,0.408024814061031,0.0743766398014535,0.160711575549782,0.207713248638838,0.653421052631579,0.739736842105263,2483,0.653421052631579,0.448169390581717,0.766052631578947,0.999458949210296,2.03965175865554,0.0110526315789474,0.0421052631578948
"B_i02_S_M03",40,43.75,6.053202789839,0.834798199445983,2.23555337200312,6.23635923240113,3,0.207631578947368,0.606025054440304,0.151330069745975,0.164838232175062,0.287179487179487,0.287894736842105,0.481315789473684,1094,0.287894736842105,0.165201800554017,0.346842105263158,0.998930868290586,2.05140312768517,0.0115789473684211,0.291052631578947
"B_i02_S_M04",43,48,5.68642291707195,0.824142520775623,2.19518899387338,6.79478020190698,2,0.172570379436965,0.583640573846092,0.132242393420278,0.178604539648762,0.264636591478697,0.302368421052632,0.53,1149,0.302368421052632,0.175857479224377,0.423684210526316,0.998955273134718,2.04954399690951,0.0176315789473684,0.0813157894736842
"B_i02_S_M05",42,44.5,7.68722164432013,0.869913988919668,2.53316138718203,6.60765516217891,3,0.239041353383459,0.67773817535683,0.183029086769527,0.169581692266806,0.37193838254172,0.281842105263158,0.423157894736842,1071,0.281842105263158,0.130086011080332,0.453947368421053,0.998571011956839,1.98648258569484,0.0115789473684211,0.236842105263158
"B_i02_S_M06",23,33.5,1.87332240994366,0.466189058171745,0.906010313854645,3.25641288354614,1,0.1141647597254,0.288952953334077,0.0814488004323329,0.146996512166043,0.102129186602871,0.680526315789474,0.945789473684211,2586,0.680526315789474,0.533810941828255,0.953947368421053,0.999682046323157,2.05553949773595,0.00736842105263158,0.031578947368421
"B_i02_S_M07",22,22,4.66603892717296,0.785685457063712,2.02940119755174,3.09219439231132,2,0.428767942583732,0.656542648046411,0.212092678507862,0.247218428623417,0.380225563909774,0.386842105263158,0.560526315789474,1470,0.386842105263158,0.214314542936288,0.567105263157895,0.999098018449448,1.822230791658,0.00368421052631579,0.357105263157895
"B_i02_S_M08",33,33,8.19921596416875,0.878037119113573,2.47820711604373,4.96929190936677,3,0.341307814992026,0.708766411191269,0.248461089823295,0.235917935440151,0.372853618421053,0.200263157894737,0.367368421052632,761,0.200263157894737,0.121962880886427,0.262894736842105,0.998672468573007,2.0304515713865,0.00842105263157895,0.525263157894737
"B_i02_S_M09",54,57,10.9658115763734,0.908807479224377,2.87445104100271,8.91472445306465,4,0.327909356725146,0.720597276762358,0.203070584747655,0.231672422785517,0.377537239324727,0.176578947368421,0.341315789473684,671,0.176578947368421,0.0911925207756233,0.191842105263158,0.997988135255024,2.04644057321856,0.0147368421052632,0.37
"B_i02_S_M10",55,55.75,11.4714429391044,0.912827008310249,2.91532368144484,9.11279293301415,4,0.294507177033493,0.727497202425836,0.208571689801899,0.223145328866341,0.399366471734893,0.179736842105263,0.309473684210526,683,0.179736842105263,0.0871729916897507,0.219736842105263,0.997918527727894,2.03793005411664,0.0168421052631579,0.329473684210526
"B_i02_S_M11",55,55.75,11.8384526716043,0.915529501385042,2.98997901336766,9.11279293301415,4,0.481023923444976,0.746126881684335,0.215244594029169,0.226913007207285,0.434551656920078,0.181578947368421,0.329473684210526,690,0.181578947368421,0.0844704986149585,0.0942105263157895,0.997722291292535,1.99885386338812,0.0134210526315789,0.468947368421053
"B_i02_S_M12",64,64.75,13.9962353616243,0.928552216066482,3.17332000835478,10.9329874875104,5,0.388758223684211,0.763022173201193,0.21869117752538,0.245750029720722,0.442606516290727,0.171578947368421,0.293947368421053,652,0.171578947368421,0.071447783933518,0.129473684210526,0.99726097834262,2.0211077832997,0.0157894736842105,0.539210526315789
"B_i02_S2",163,163,83.3150624862969,0.987997368421053,4.72080370626262,34.628067381874,34,0.823819825637714,0.926783513159897,0.511135352676668,0.494227938644692,0.666463612735543,0.0431578947368421,0.0747368421052632,164,0.0431578947368421,0.0120026315789474,0.0568421052631579,0.987240794462096,2.06051719738934,0.0444736842105263,0.875263157894737
"B_i02_S3",37,37.75,7.68707432293591,0.869911495844875,2.41859415653671,5.68699828765828,3,0.439473684210526,0.669800370722248,0.207758765484754,0.184942344025328,0.329407894736842,0.211052631578947,0.407894736842105,802,0.211052631578947,0.130088504155125,0.198157894736842,0.99873547604795,2.03544161608416,0.00736842105263158,0.416052631578947
"B_i03_S_M01",45,46.5,6.35403410761023,0.842619667590028,2.35638588216809,7.17192395821109,2,0.257789473684211,0.619016234956588,0.141200757946894,0.196687136389974,0.30616028708134,0.267894736842105,0.500526315789474,1018,0.267894736842105,0.157380332409972,0.564736842105263,0.998752436647174,2.04154933213227,0.0155263157894737,0.326052631578947
"B_i03_S_M02",34,35,7.22677871843789,0.861625761772853,2.35909400858069,5.14708684856342,3,0.240789473684211,0.668988321560646,0.212552315248173,0.18459505407843,0.322264752791069,0.265263157894737,0.427105263157895,1008,0.265263157894737,0.138374238227147,0.452368421052632,0.998809151049101,2.03662676677837,0.00473684210526316,0.17078947368421
"B_i03_S_M03",50,53.75,4.12590761395677,0.757629085872576,2.10985169980155,8.13115199001834,2,0.168431578947368,0.539324972494798,0.0825181522791354,0.214322722071763,0.269871106337272,0.441578947368421,0.617894736842105,1678,0.441578947368421,0.242370914127424,0.497894736842105,0.998864791023929,2.05404309735308,0.0173684210526316,0.125789473684211
"B_i03_S_M04",41,41.3333333333333,4.13558770596315,0.758196398891967,2.10727241208992,6.42151063750443,2,0.18798459563543,0.567451600302471,0.10086799282837,0.178726563252195,0.332256578947368,0.441052631578947,0.635526315789474,1676,0.441052631578947,0.241803601108033,0.657894736842105,0.99891221930592,2.02934487257097,0.0126315789473684,0.182105263157895
"B_i03_S_M05",54,56.5,7.65471103995929,0.869361495844875,2.52363492402393,8.91472445306465,3,0.277811890838207,0.632651044618127,0.141753908147394,0.191835588249909,0.295094339622641,0.250526315789474,0.435789473684211,952,0.250526315789474,0.130638504155125,0.269736842105263,0.998556967659744,2.05329197401973,0.0173684210526316,0.357894736842105
"B_i03_S_M06",48,51,7.76782592323624,0.871263850415512,2.5341175338049,7.74470638711891,3,0.225712719298246,0.654607582159776,0.161829706734088,0.206730758724274,0.332586786114222,0.230263157894737,0.425263157894737,875,0.230263157894737,0.128736149584488,0.222368421052632,0.998541695445964,2.02604111141707,0.0165789473684211,0.191578947368421
"B_i03_S_M07",42,42.75,6.67211278642955,0.85012243767313,2.34008079970114,6.60765516217891,3,0.216334586466165,0.626080161888649,0.158859828248323,0.191602432258436,0.307663671373556,0.248157894736842,0.470789473684211,943,0.248157894736842,0.14987756232687,0.180263157894737,0.998801016101057,2.0333674332075,0.00947368421052631,0.133421052631579
"B_i03_S_M08",63,64.6666666666667,7.42813638140703,0.865376731301939,2.66364553371348,10.7274848190017,3,0.22141186299081,0.642905845360569,0.117906926689,0.247308572216888,0.321561969439728,0.288947368421053,0.428947368421053,1098,0.288947368421053,0.134623268698061,0.160789473684211,0.99812919218431,2.05570751090771,0.0186842105263158,0.256315789473684
"B_i03_S_M09",59,62,12.2392588637153,0.918295706371191,2.98364123922522,9.91353412552145,5,0.3028545941124,0.731726263773388,0.207445065486701,0.246802102917109,0.394283121597096,0.153421052631579,0.29,583,0.153421052631579,0.0817042936288089,0.176052631578947,0.997720986631058,2.04277961574217,0.0152631578947368,0.364210526315789
"B_i03_S_M10",51,52,5.75848499204819,0.826343213296399,2.56930885532118,8.32572322169404,3,0.248059855521156,0.653464597701635,0.112911470432317,0.270475293105486,0.376615789473684,0.379473684210526,0.48,1442,0.379473684210526,0.173656786703601,0.415526315789474,0.998227348774386,2.04384817544329,0.0128947368421053,0.217105263157895
"B_i03_S_M11",56,56,12.6768971450644,0.921116343490305,3.06647156091594,9.31171557090408,5,0.345521616541353,0.761789725845273,0.226373163304722,0.286228324908586,0.429052631578947,0.171842105263158,0.332631578947368,653,0.171842105263158,0.0788836565096953,0.194736842105263,0.997539945664687,2.02920497020961,0.015,0.446578947368421
"B_i03_S_M12",65,86,14.5877741521614,0.93144944598338,3.10600204103169,11.1392840173767,6,0.333578947368421,0.744061784451863,0.224427294648637,0.228063122144032,0.368708881578947,0.141315789473684,0.264210526315789,537,0.141315789473684,0.0685505540166205,0.162894736842105,0.997468035793771,2.04748634369052,0.0152631578947368,0.327105263157895
"B_i03_S2",18,19.5,2.17090428988127,0.539362465373961,1.03319421885597,2.44985565698438,1,0.150877192982456,0.357460667830497,0.120605793882293,0.134962583170763,0.136842105263158,0.587368421052632,0.926315789473684,2232,0.587368421052632,0.460637534626039,0.600526315789474,0.99964973676536,2.05139041811733,0.00578947368421053,0.0431578947368422
"B_i04_S_M01",31,34,2.98452552451383,0.66493836565097,1.75265751370248,4.61707414860265,1,0.245738539898132,0.510385569117242,0.0962750169198009,0.183633916893511,0.297578947368421,0.553157894736842,0.689210526315789,2102,0.553157894736842,0.33506163434903,0.0557894736842105,0.999245982410094,2.02522824677323,0.00973684210526316,0.197631578947368
"B_i04_S_M02",22,22,2.90984244130139,0.656338781163435,1.57677387787624,3.09219439231132,1,0.288576555023923,0.51011071561412,0.132265565513699,0.235630539253697,0.250175438596491,0.534210526315789,0.747894736842105,2030,0.534210526315789,0.343661218836565,0.0165789473684211,0.999379364860094,2.04610407015994,0.00447368421052632,0.215263157894737
"B_i04_S_M03",33,33.5,4.33930478567621,0.769548337950139,1.90445636040896,4.96929190936677,2,0.252057416267943,0.544673885850315,0.131494084414431,0.2094719101461,0.250921052631579,0.316052631578947,0.628157894736842,1201,0.316052631578947,0.230451662049861,0.00315789473684211,0.999155730533683,2.05025944818133,0.0102631578947368,0.187105263157895
"B_i04_S_M04",34,39.25,3.506595751191,0.714823130193906,1.68453390179771,5.14708684856342,2,0.167469040247678,0.477697583681143,0.103135169152677,0.160347076380761,0.215693779904306,0.437894736842105,0.700526315789474,1664,0.437894736842105,0.285176869806094,0.0205263157894737,0.999338076161532,2.05100282475938,0.00921052631578947,0.117631578947368
"B_i04_S_M05",31,31.5,5.49969949702887,0.81817188365651,2.03443135993787,4.61707414860265,3,0.432835314091681,0.592439994325165,0.17740966119448,0.18198345360113,0.259938596491228,0.255789473684211,0.488157894736842,972,0.255789473684211,0.18182811634349,0.00763157894736842,0.999117665116422,2.04575630840118,0.0121052631578947,0.362631578947368
"B_i04_S_M06",41,55,2.91287713589137,0.656696814404432,1.80648604397126,6.42151063750443,1,0.155827984595635,0.4864550927039,0.0710457838022284,0.176372665068058,0.281618421052632,0.564736842105263,0.677368421052632,2146,0.564736842105263,0.343303185595568,0.0392105263157895,0.999128716366595,2.04118324997903,0.0139473684210526,0.642105263157895
"B_i04_S_M10",47,49,8.20580429952322,0.878135041551247,2.53289256445647,7.55285083759426,3,0.489876819708847,0.657868951136179,0.17459158084092,0.207388300556087,0.309467963386728,0.196842105263158,0.391842105263158,748,0.196842105263158,0.121864958448753,0.29,0.998545148961643,2.05182868490064,0.0121052631578947,0.488947368421053
"B_i04_S_M11",51,51,8.77260129499148,0.886008725761773,2.76127254676969,8.32572322169404,3,0.435975232198142,0.702287640577904,0.172011790097872,0.281326365164666,0.382389473684211,0.231315789473684,0.412894736842105,879,0.231315789473684,0.113991274238227,0.288684210526316,0.998072554527176,2.04405250121092,0.00868421052631579,0.403421052631579
"B_i04_S_M12",54,54.4285714285714,7.07293251423158,0.858615927977839,2.59556001320845,8.91472445306465,3,0.206345029239766,0.650681973883555,0.130980231745029,0.221070979134771,0.331122144985104,0.314473684210526,0.43,1195,0.314473684210526,0.141384072022161,0.477368421052632,0.998363263802551,2.04982779741184,0.0168421052631579,0.152105263157895
"B_i04_S_M07-1",59,70,8.39473387414643,0.880877700831025,2.6927289083993,9.91353412552145,3,0.240249776984835,0.660381160306411,0.142283624985533,0.179090589228147,0.32698275862069,0.266052631578947,0.409736842105263,1011,0.266052631578947,0.119122299168975,0.157631578947368,0.998279918957499,2.04915499742487,0.0210526315789474,0.470789473684211
"B_i04_S_M07-2",65,67.5,10.1846927735232,0.901813434903047,2.87260098757558,11.1392840173767,4,0.256153846153846,0.688149134674655,0.156687581131126,0.215418609149609,0.345456414473684,0.213421052631579,0.372894736842105,811,0.213421052631579,0.0981865650969529,0.173157894736842,0.997941167441789,2.05332445048332,0.0255263157894737,0.45921052631579
"B_i04_S_M08-1",46,47,7.75336149027769,0.871023684210526,2.47842116776947,7.36191992171876,3,0.371361556064073,0.647336982262744,0.168551336745167,0.186152365235485,0.304959064327485,0.213684210526316,0.412105263157895,812,0.213684210526316,0.128976315789474,0.101315789473684,0.998636245030775,2.05247329164678,0.0168421052631579,0.309736842105263
"B_i04_S_M08-2",42,44.5,7.88389490615217,0.873159141274238,2.47703668450258,6.60765516217891,3,0.391428571428571,0.6627222139661,0.187711783479814,0.184772799412985,0.317252888318357,0.206842105263158,0.394736842105263,786,0.206842105263158,0.126840858725762,0.103157894736842,0.998636475265154,2.0525030151137,0.0105263157894737,0.314210526315789
"B_i04_S_M08-3",46,49.5,8.55103737585007,0.88305512465374,2.5603467679698,7.36191992171876,3,0.459422196796339,0.668735068872647,0.185892116866306,0.158025672819513,0.347087719298246,0.217368421052632,0.392894736842105,826,0.217368421052632,0.11694487534626,0.127368421052632,0.99856863286826,2.02458038201055,0.0128947368421053,0.392368421052632
"B_i04_S1",321,340.448275862069,34.2316372394697,0.970787257617729,4.70303948498449,83.6361965837473,26,0.501373995737006,0.814881306877804,0.106640614453177,0.403799829510259,0.487054276315789,0.117631578947368,0.217368421052632,447,0.117631578947368,0.0292127423822715,0.00736842105263158,0.984420346579491,2.0613843405859,0.178421052631579,0.857105263157895
"B_i04_S2",22,40,2.26865671641791,0.559210526315789,1.16215744081089,3.09219439231132,1,0.409055023923445,0.375975891094037,0.103120759837178,0.112369614981897,0.173809523809524,0.618157894736842,0.841842105263158,2349,0.618157894736842,0.440789473684211,0.000263157894736842,0.999635999447438,2.04610407015994,0.00684210526315789,0.38078947368421
"B_i04_S3",18,18.5,1.74642871051396,0.427402908587258,0.920732148566083,2.44985565698438,1,0.146315789473684,0.318551461780219,0.0970238172507756,0.163521145851271,0.138513931888545,0.731052631578947,0.924736842105263,2778,0.731052631578947,0.572597091412742,0.00263157894736842,0.99967383463032,2.05139041811733,0.00184210526315789,0.0726315789473684
"B_i05_S_M01",22,22,3.37288295535555,0.703517728531856,1.66829467047234,3.09219439231132,2,0.620083732057416,0.539719106303374,0.15331286160707,0.175697938450978,0.279598997493734,0.484736842105263,0.663947368421053,1842,0.484736842105263,0.296482271468144,0.186315789473684,0.999383125354945,2.04043003375338,0.00394736842105263,0.556578947368421
"B_i05_S_M02",26,29,2.09005775159577,0.52154432132964,1.35273822269976,3.75718517198311,1,0.147155870445344,0.415192799511468,0.0803868365998372,0.17484802096421,0.252694736842105,0.679473684210526,0.783947368421053,2582,0.679473684210526,0.47845567867036,0.0773684210526316,0.999461481788461,2.02543268299424,0.00605263157894737,0.0571052631578947
"B_i05_S_M03",24,24,3.15503041632855,0.683045844875346,1.64483280288111,3.42200650717286,2,0.191129385964912,0.517559767922819,0.131459600680356,0.196428312379237,0.290068649885583,0.480263157894737,0.763684210526316,1825,0.480263157894737,0.316954155124654,0.331315789473684,0.999348206474191,2.02410461488654,0.00447368421052632,0.0663157894736842
"B_i05_S_M04",24,25,4.00310046229711,0.750193628808864,1.80804981488997,3.42200650717286,2,0.192675438596491,0.568917303295653,0.166795852595713,0.155681458869938,0.300503432494279,0.426842105263158,0.62421052631579,1622,0.426842105263158,0.249806371191136,0.238684210526316,0.999318352749766,2.02470512179603,0.00578947368421053,0.0310526315789473
"B_i05_S_M05",39,39,4.91294827250668,0.796456232686981,2.16769410779898,6.05221410292509,2,0.234493927125506,0.591690359595568,0.125973032628376,0.197809893191573,0.320062326869806,0.359473684210526,0.603684210526316,1366,0.359473684210526,0.203543767313019,0.433421052631579,0.998934321806266,2.03066978018364,0.0157894736842105,0.16578947368421
"B_i05_S_M06",47,54.5,6.74514830451075,0.851745290858726,2.46652787556283,7.55285083759426,3,0.228947368421053,0.640632030436264,0.143513793712995,0.187396357607687,0.334971395881007,0.287105263157895,0.495789473684211,1091,0.287105263157895,0.148254709141274,0.354473684210526,0.998616061150251,2.04022262392933,0.0152631578947368,0.159736842105263
"B_i05_S_M07",46,48,2.6855483279672,0.627636565096953,1.83623020437219,7.36191992171876,1,0.148827231121281,0.479603601960745,0.0583814853905912,0.204109567024706,0.297111111111111,0.6,0.659210526315789,2280,0.6,0.372363434903047,0.7,0.998989578057129,2.0147028068318,0.0173684210526316,0.0678947368421053
"B_i05_S_M08",71,73.5,9.79693743936279,0.89792728531856,2.92003191417915,12.3934215721259,4,0.233654558932543,0.685022567588612,0.137985034357222,0.230055582297777,0.37309022556391,0.227105263157895,0.37,863,0.227105263157895,0.10207271468144,0.180789473684211,0.997724900615493,2.05068145151439,0.03,0.244473684210526
"B_i05_S_M09",49,49.2,5.01375658142355,0.800548753462604,2.45584696496542,7.93747663137144,3,0.330698174006445,0.631027842204755,0.102321562886195,0.239037437612088,0.361847587719298,0.420789473684211,0.493947368421053,1599,0.420789473684211,0.199451246537396,0.0931578947368421,0.998409617657442,2.02865745490376,0.0152631578947368,0.357631578947368
"B_i05_S_M10",61,70.3333333333333,8.18995244836473,0.877899168975069,2.84991880276202,10.3188849884426,4,0.268455565142364,0.693263499909194,0.134261515546963,0.211754941778752,0.391561403508772,0.302631578947368,0.411578947368421,1150,0.302631578947368,0.122100831024931,0.147368421052632,0.997842934106921,2.04317243201057,0.0131578947368421,0.358157894736842
"B_i05_S_M11",76,77.1111111111111,9.54380102364536,0.895219944598338,2.96925437667331,13.4593938616681,4,0.263885041551247,0.685623921715992,0.125576329258492,0.243624541472012,0.364266666666667,0.21,0.418947368421053,798,0.21,0.104780055401662,0.0639473684210526,0.997519224570612,2.03476059932237,0.0315789473684211,0.298157894736842
"B_i05_S_M12",74,77.75,11.5269910402391,0.913247091412742,3.02414655400766,13.0307728144696,5,0.296120199146515,0.702625654705498,0.15577014919242,0.247869158868022,0.350129776496035,0.202894736842105,0.33921052631579,771,0.202894736842105,0.0867529085872576,0.154736842105263,0.997536492149007,2.05164290655592,0.0313157894736842,0.311052631578947
"B_i05_S1",305,312.772727272727,106.251471627031,0.99058836565097,5.18790133290492,78.1037143427588,47,0.644593615185505,0.906926324211956,0.348365480744363,0.498832499958345,0.605081371191136,0.0423684210526316,0.0818421052631579,161,0.0423684210526316,0.00941163434903047,0.0376315789473684,0.979163098033808,2.06134980085765,0.170263157894737,0.904736842105263
"B_i05_S2",79,86,3.03925394313733,0.67097188365651,1.9721716037243,14.107817691049,1,0.21528980679547,0.451354878308205,0.0384715689004725,0.256702141465023,0.225354251012146,0.548947368421053,0.667631578947368,2086,0.548947368421053,0.32902811634349,0.552894736842105,0.998641003207933,2.05979115924282,0.0347368421052632,0.330263157894737
"B_i05_S3",17,17.3333333333333,1.4062574561348,0.288892659279778,0.78165574306804,2.29313219089695,1,0.184520123839009,0.275890181269925,0.0827210268314587,0.154499827313837,0.168881578947368,0.841052631578947,0.881578947368421,3196,0.841052631578947,0.711107340720222,0.0168421052631579,0.999679206765821,2.01871526677376,0.00289473684210526,0.116578947368421
"B_i06_S_M01",39,48.3333333333333,3.84190302972899,0.739712326869806,1.75469321044976,6.05221410292509,2,0.167503373819163,0.478958287027461,0.098510334095615,0.174290211488344,0.186828254847645,0.370789473684211,0.691315789473684,1409,0.370789473684211,0.260287673130194,0.382368421052632,0.999278215223097,2.05608368421823,0.0134210526315789,0.0915789473684211
"B_i06_S_M02",33,33.2,3.72600353093022,0.731615927977839,1.77643948939759,4.96929190936677,2,0.252121212121212,0.508061103306331,0.112909197906976,0.181894458422567,0.246537828947368,0.400263157894737,0.706578947368421,1521,0.400263157894737,0.268384072022161,0.414210526315789,0.999279596629369,2.03808550299893,0.00973684210526316,0.172368421052632
"B_i06_S_M03",35,35.75,3.97300557321336,0.748301385041551,1.79610352851031,5.32598103306538,2,0.177127819548872,0.505183598749509,0.113514444948953,0.166206133018857,0.231540247678019,0.372368421052632,0.655526315789474,1415,0.372368421052632,0.251698614958449,0.66578947368421,0.999258415066538,2.04376464737963,0.0134210526315789,0.106842105263158
"B_i06_S_M04",38,39,7.09751812963686,0.85910567867036,2.38826839293561,5.86908899518849,3,0.252583102493075,0.656553078900887,0.18677679288518,0.190957631300768,0.334864864864865,0.228684210526316,0.421052631578947,869,0.228684210526316,0.14089432132964,0.479736842105263,0.998756734355573,2.02192014913898,0.00789473684210526,0.161315789473684
"B_i06_S_M05",25,25,2.94302395303553,0.660213434903047,1.46354244277308,3.58894116973577,2,0.149431578947368,0.454675023952813,0.117720958121421,0.17999272361541,0.189144736842105,0.497105263157895,0.772631578947368,1889,0.497105263157895,0.339786565096953,0.797894736842105,0.999470384184433,2.05352596122959,0.0102631578947368,0.0368421052631579
"B_i06_S_M07",46,46.5,5.5171275480418,0.818746260387812,2.36000601354658,7.36191992171876,2,0.224679633867277,0.616408216165329,0.119937555392213,0.20432881665703,0.342245614035088,0.329210526315789,0.575263157894737,1251,0.329210526315789,0.181253739612188,0.595789473684211,0.998643689275682,2.02778423143911,0.0128947368421053,0.120789473684211
"B_i06_S_M09",35,35,5.05440485782911,0.802152770083102,2.20040034510339,5.32598103306538,2,0.219533834586466,0.618898714569622,0.144411567366546,0.223155889311578,0.344427244582043,0.350789473684211,0.595263157894737,1333,0.350789473684211,0.197847229916898,0.608421052631579,0.998890577274332,2.03790387436817,0.00868421052631579,0.0886842105263158
"B_i06_S_M10",34,34,5.18074485046878,0.80697756232687,2.0658173141407,5.14708684856342,2,0.182840557275542,0.585821358797556,0.152374848543199,0.217091503182664,0.257049441786284,0.313684210526316,0.547105263157895,1192,0.313684210526316,0.19302243767313,0.489736842105263,0.999047597120536,2.054102846074,0.00894736842105263,0.270526315789474
"B_i06_S_M11",58,61.75,11.4787928507153,0.912882825484765,2.87942297852876,9.71209336674282,4,0.253076225045372,0.709140103936903,0.197910221564057,0.209594862051021,0.357257617728532,0.159736842105263,0.294210526315789,607,0.159736842105263,0.0871171745152355,0.291315789473684,0.997986907338338,2.04530859397315,0.0178947368421053,0.225789473684211
