id	taxon_stool	taxon_oral	ASV_number	summe	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
b022b5312f30be684bdd2cc66030dea5	Veillonella	Veillonella	Veillonella_ASV_34	51	26	2	5	2	6	3	6	1	0	0	0	0
4f5efd25dacb5d639316e7291ff6ff8b	Neisseria	Neisseria	Neisseria_ASV_35	47	13	0	0	3	9	6	6	0	0	1	8	1
101803f312fa3f817aa29ccc35d14ecc	#NV	Streptococcus	Streptococcus_ASV_36	44	20	5	5	8	2	3	1	0	0	0	0	0
0999f4e86c94093f74e23b12501455f8	Scardovia	Scardovia	Scardovia_ASV_37	32	30	1	1		0							0
2bd9309f2f97cae51d18d06ea1ca519a	Granulicatella	Granulicatella	Granulicatella_ASV_38	31	0	3	3	2	3	5	5	3	0	2	2	3
1739d8f19c1ac366a2138b64b03047a9	Rothia	Rothia	Rothia_ASV_39	29	20	1	4	4	0	0	0	0		0	0	0
cecb70145de326663e025cf4c44d8c6d	#NV	Streptococcus	Streptococcus_ASV_40	23	13	0	1	1	6	1	1	0	0	0	0	0
0a21726cd4952a96635576553da67787	#NV	Alloprevotella	Alloprevotella_ASV_41	22	0	0	1	0	2	3	12	0	0	0	2	2
68fd3ae559594bf383fa6ca8e452c3b6	Staphylococcus	Staphylococcus	Staphylococcus_ASV_42	21	20	1		0								
b74bb412a90b927e38ed38f0a67f8903	Bergeyella	Bergeyella	Bergeyella_ASV_43	19	0	0	5	1	0	2	6	2	1	1	1	0
b70052f1527ee64b4d266d671f5a14c3	#NV	Porphyromonas	Porphyromonas_ASV_44	17	2	0	5	3	3	3	1	0	0	0	0	0
36ce67b3fecce277df99829617975495	Rothia	Rothia	Rothia_ASV_45	11	2	1	5	1	1	1	0	0	0	0	0	0
f3384f1f36a908bd09b3c265bac26f8c	unclassified_Pasteurellaceae	unclassified_Pasteurellaceae	unclassified_Pasteurellaceae_ASV_46	11	10	0	0	0	0	1	0	0	0	0	0	0
153a1c462f6c9cc86cb69c231e968272	Actinobacillus	Actinobacillus	Actinobacillus_ASV_47	10	3	0		0	1	4	0	0	1	0	0	1
46206609ca80309cad2b3040af792d04	Streptococcus	Streptococcus		10	10			0								
32f8fd11d2bee278d609a1d4ab767554	Prevotella	Prevotella		9	0	3	4	0	2	0	0	0	0	0	0	0
22152f39b9cc94b7201f48a54aa313ac	#NV	Gemella		9	9	0		0		0						
df8456a1abbfb4c8a2c450b44378d4cb	Actinomyces	Actinomyces		8	0	0	3	1	4	0	0	0	0	0	0	0
5a2676b27aa16876cffaca5a4dca4669	Actinomyces	Actinomyces		8	0	3	0	2	1	2	0	0	0	0	0	0
1b51357852b0b814b4d9918c6f0ab762	Streptococcus	Streptococcus		8	7			0				0	0	0	0	1
a11dfa1dcbd0d6d5a35b0a70955e625f	Streptococcus	Streptococcus		8	6	0	0	0	2	0	0	0	0			
d23346fdcf9ebe8e57dbd511acaee05d	Gemella	Gemella		7	0	1	1	2	0	2	0	0	1	0	0	0
2ef1e51ab1cf99a3c6417b05a060830e	Lactobacillus	Lactobacillus		6	4	2	0	0	0	0	0	0	0	0	0	0
85b6e8ab41c440d4c772047c068224b0	#NV	Streptococcus		6	4		2	0	0			0	0	0		0
eadba9902d6c7adb56aafd0cd1bbe76b	Streptococcus	Streptococcus		6	6	0	0	0	0							
5a2117004ce4fd6efd3b25d8bdda7685	#NV	Bacteroides		6	6											
5ca52ab8cc2e3b944d812050f15829f5	#NV	Leptotrichia		5	0	0	0	0	2	1	1	1	0	0	0	0
76c79f2abc57cc084ad58546922178ea	#NV	Porphyromonas		5	3	0	0	0	1	0	1	0	0	0	0	0
ac52cbe03fa78753c48e0bfe5df2a991	#NV	Veillonella		5	0		0	0	1	1	2	0	0	0	1	0
c19cc0980df8b1b0be1e291da811db6e	#NV	Streptococcus		5	0	1	2	2								
0308f55649a7002c6d71b9be4a077d9d	#NV	Gemella		5	4	1	0	0					0	0		
f4f346f717f58f140f67800bae07308c	Leptotrichia	Leptotrichia		4	0	1		0	0	0	1	0	2	0	0	0
c8b4f4ac6842214a4c90b85099ae8590	Haemophilus	Haemophilus		4	0	0	0	0	0	0	0	0	2	0	0	2
f1860fe716257bd5fd5c4c6a16cf3b95	Neisseria	Neisseria		4	1	0		0				1	0	1	0	1
366bb3ddd63d135bec172051cf2cfe0a	Actinomyces	Actinomyces		4	0	0	1	0	3	0	0	0	0	0	0	0
8674dcf0cfe35939037fa9a5b986866f	Fusobacterium	Fusobacterium		3	0	0	1	0	1	0	0	0	0	0	0	1
b55f5cd81cb98b3cee7a29ec4e00d7f4	#NV	Streptobacillus		3	0	0	0	1	0	0	2	0	0	0	0	0
2721fd42d5373667f111c60faaf21eac	Rothia	Rothia		3	0	0	0	2	1	0	0	0	0	0	0	0
57e4702908434556f1ef3b06bc4d90c2	#NV	Streptococcus		3	1	0	1	0	1	0	0	0	0	0	0	0
34574ccea5b3ac6d72d3c716df898a85	Haemophilus	Haemophilus		3	0	0	0	0	3	0	0	0	0			
a05aec2d8945f8d5c15e1575515202b7	#NV	Lautropia		3	3											
45ff02351326fb78fdf395fa155d21b2	Streptococcus	Streptococcus		3	3					0	0			0	0	
fe6980077c9ad9e21984b28a04ff660a	Granulicatella	Granulicatella		2	0	0		0	0	0	0	1	0	0	0	1
39affe4f24aab02b897ece4e7d11f23d	#NV	Porphyromonas		2	0	0	0	0	0	1	0	0	1	0	0	0
da466b9784b267fa1119706ed02d88ef	#NV	Veillonella		2	0	0		0	1	1	0	0	0	0	0	0
68262884f1021c896f8e1bf7348d773c	Flavobacterium	Flavobacterium		2	0	2	0	0	0	0	0	0	0	0	0	0
f7885a9ebb6c25b68504b7dcc1048ffc	Neisseria	Neisseria		2	0			0		0	1	0	1	0	0	0
5d7b451064888565a46f002608f8f69b	Streptococcus	Streptococcus		2	2	0	0	0	0	0	0	0		0	0	0
521db6dadffd64da854682ceb123784c	#NV	Streptococcus		2	0		0		1	1	0	0	0	0	0	0
b1df057625999ecb3f65e3f3633fa78f	#NV	Streptococcus		2	0		0	2								
3e6b1eccc8b885f92759c9621ba71a4d	#NV	Veillonella		2	0				2	0		0	0	0		0
6646f6fa93d7ff9871a752d87d594a92	#NV	Streptococcus		2	2											
6e6bf831e6f7e98cffe6824ba27a738e	#NV	Streptococcus		1	0									0	1	0
e51d31f1ac0ad6b54c030c55677ced1b	Neisseria	Neisseria		1	0	0	0				0	0	0	0	0	1
3db80fc0b97d3daef63917e652004908	Streptococcus	Streptococcus		1	0	0	0	1	0	0	0	0	0	0	0	0
ca8a96332f7acf30d9d883f33de60e12	#NV	Leptotrichia		1	0					1	0	0	0	0	0	0
e5c19d7800b18015f3a917fc015fc42f	Enhydrobacter	Enhydrobacter		1	0	0	0	0	0	0	1	0	0	0	0	0
b2238f0b0169bdbc968b5762bfbbbcce	#NV	Leptotrichia		1	0						0	0	0	1	0	0
17ae20a577370dc92154c6b1f5b2a5aa	Leptotrichia	Leptotrichia		1	0		0		0	1	0	0	0	0	0	0
c845eda99662b5a88a8c8e979ec07dd0	#NV	Lautropia		1	1			0		0	0	0	0	0	0	0
29fbc7e5021229480248fa7466a499a2	Abiotrophia	Abiotrophia		1	1						0	0	0	0	0	0
ba430d5e27861988066538a27c3742d0	Leptotrichia	Leptotrichia		1	0		0	0	1	0	0	0	0	0	0	0
ca61ac4289927f68321a69d35ba3aa33	#NV	Neisseria		1	0			0			0	0	1	0	0	
5d047879489ed3ab2b46680099f20df7	Fusobacterium	Fusobacterium		1	0		0	1	0	0	0	0	0	0	0	0
6a895fd85909a4a8018c9f0368dbc4f5	#NV	Haemophilus		1	0				0	1	0	0				
f4e78e2e397dc8bd3ca2f87c245a8773	Fusobacterium	Fusobacterium		1	0	0	0	0	0	0	0	0	0	0	0	1
6f470466d3eca81e322a799e116a719f	#NV	Fusobacterium		1	0	0	0	1		0	0	0	0	0	0	0
e672638483113ace46df9de062c9bbb2	Haemophilus	Haemophilus		1	1	0		0	0			0	0			
acf97c468ae94efcf4d5ec538ffae143	#NV	unclassified_Opitutaceae		1	0	1	0	0	0	0	0	0	0		0	0
2c6a6015a325f35c1a5c8ce7a44a5e3c	Lactobacillus	Lactobacillus		1	0		1	0	0							
378bd468b1175190e337262d22ca2da2	Luteolibacter	Luteolibacter		1	0	0	0		0			1			0	
994b83a5074f5c1e6744a403163f1846	#NV	unclassified_Oscillospirales_UCG-010		1	0	1										
695cbdbbee4b5ea52406265c0c92b9b5	#NV	Pseudomonas		1	0											1
70eff6bc81d8cf6460551d232fe22d4b	#NV	Streptococcus		1	0					1						
eb5ace1b92973c8a36f63b57da04306a	#NV	Streptococcus		1	0			1								
569653b1659271a290facfcedd0de061	Enterococcus	#NV		0	0	0	0	0	0	0	0	0	0	0	0	0
149465e40c1bdbc6230588a58a4d6eb0	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae		0	0	0	0	0	0	0	0	0	0	0	0	0
3c47d1756ee2bde5d0607744e6dbd522	Ruminococcaceae_UBA1819	#NV		0	0	0	0	0	0	0	0	0		0		
65ee5def04f39e75ac18286bf30dfe5e	Bifidobacterium	#NV		0	0	0	0	0	0	0	0	0	0	0		0
87ffadfac3269d119a72859bbe564a0d	[Ruminococcus]_gnavus_group	#NV		0	0	0	0	0	0	0	0	0	0	0	0	0
2740cf2417c92847cc298cbd71dd1fcd	Veillonella	Veillonella		0	0	0	0	0	0	0	0	0	0	0	0	0
4cbfff144d4e7a4e0f4619ed505be070	unclassified_Enterobacteriaceae	unclassified_Enterobacteriaceae		0	0	0	0	0	0	0	0		0			0
945184b6386c192c0066e0a98a154780	unclassified_Enterobacteriaceae	unclassified_Enterobacteriaceae		0	0	0	0	0	0	0	0	0	0	0	0	0
5a6c87d6a4eb5e114959f6192f29b641	Bifidobacterium	Bifidobacterium		0	0	0	0	0	0	0	0	0	0	0	0	0
0a59a51237ccce9722064dffee93014a	[Ruminococcus]_gnavus_group	#NV		0	0	0	0		0					0	0	
ec347b26919ac5286c515f91b0351b45	Bifidobacterium	#NV		0	0	0	0					0				0
1a226ce3860520d178a1fef1d5ef6ed4	Hydrogenophaga	Hydrogenophaga		0	0											
b23db95bd842862069c8fb1efae4e134	Prolixibacteraceae_BSV13	#NV		0	0											
3c998f79517ff389e896d7308a8b1d58	Anaerostipes	#NV		0	0	0	0	0	0							
3b286ab93025fb08ef668e5664cb610f	unclassified_Microtrichales	#NV		0	0											
25664543c5ccae357787f719789fcd3e	Chthoniobacter	#NV		0	0											
30e54ee11001eeaefc8ae3fd972a3208	Bifidobacterium	#NV		0	0											
43a42417afe519b34387af0a9d973efb	Streptococcus	#NV		0	0							0				
04b40d902233fd359c616125ccd20223	Eggerthella	#NV		0	0											0
e16f1862881e82819b972feb32649eaf	[Eubacterium]_siraeum_group	#NV		0	0	0										
68f45531b0d99b133ed8ba97a4e9f752	Clostridium_sensu_stricto_1	#NV		0	0			0								
215d5a2989aa34ebb5783f74ee22ca7c	Collinsella	#NV		0	0					0						
e93b313352019b8113e7fc66bf757917	Parvimonas	Parvimonas		0	0										0	
26f6f98976283ca2f5c7d1ca79ba94c7	Novosphingobium	#NV		0	0											
233660c722b71aef1edf79a6fa6f196d	unclassified_Hungateiclostridiaceae	#NV		0	0											
d6ce665f75360532c4afb91fcd75e76c	Dolosigranulum	#NV		0	0											
2993dcd3ed919f3f3390f16c31b28b4a	Lactobacillus	#NV		0	0									0		
839cf95994a4b0af8fcf5f54ede3af15	Phascolarctobacterium	#NV		0	0	0										
cb728c3c036f152b383d5d843ee6d3d4	Bacteroides	#NV		0	0							0				
1b52be6ba55db136f751fcd410972d0f	Faecalibacterium	#NV		0	0											0
dfb29ec040a43ef8358181cec3ef0581	Nitrosomonadaceae_MND1	#NV		0	0											
b840019de23facba4977cb1831446ecf	unclassified_Bacteria	#NV		0	0											
6db2c97532abe971a75024dfeaf40e9d	Psychrobacter	Psychrobacter		0	0											
f06fc98044ced66bdd54d8fcf161bb00	[Ruminococcus]_gnavus_group	#NV		0	0					0			0	0	0	0
9fea59e9a8b7f4d8d68f804396fe13ce	Bifidobacterium	#NV		0	0	0			0	0		0			0	
5b2fd398814465771c9231cd9dd3d9d5	Lachnoclostridium	#NV		0	0				0		0	0	0	0	0	
18480ab6f2ad9049475ccdf2224f8254	Escherichia-Shigella	#NV		0	0											
6da4e521c19b6eedb6218eb53d6a6533	[Ruminococcus]_gnavus_group	#NV		0	0									0	0	0
4b5b33605e08a1c8c6512e901328c53e	Streptococcus	#NV		0	0	0	0				0	0		0	0	0
821130ba72e86c335c55c269f31db0d0	Clostridium_sensu_stricto_1	#NV		0	0	0	0	0	0	0	0	0		0	0	
22b3c70cdfb1714224e1bf8a6314bee9	Finegoldia	Finegoldia		0	0	0	0	0	0	0	0	0	0	0	0	0
61e8588388ce05627683adb6fe72cb0f	Bifidobacterium	#NV		0	0	0	0	0	0	0	0	0	0	0	0	0
873b1a798b13e33f41f4c44bd022d172	unclassified_Enterobacteriaceae	#NV		0	0	0	0	0	0	0	0	0	0	0		0
99d7dd8fdd43cef331f256e86f097a82	unclassified_Neisseriaceae	unclassified_Neisseriaceae		0	0											
177a377dd3481995a01c47a5d70946c4	Clostridium_sensu_stricto_1	#NV		0	0										0	
3b05fda2cd67b63e0b2a30c43f450e6d	Escherichia-Shigella	#NV		0	0								0			
fb2d5a74006f3337a4f3bd3317541c30	Faecalibacterium	#NV		0	0									0		
10e50da0f9753ed79c3efd21e02682ee	Clostridium_sensu_stricto_1	#NV		0	0			0								
f70939d8e58b0927bd06fe87538e798a	Erysipelothrix	#NV		0	0											
e32e4701d2e685cffff260ebf01740e8	Enterococcus	#NV		0	0	0										
8d92eee7f39a5c9de80ef2c682552916	unclassified_Enterobacteriaceae	#NV		0	0											
43026fef809533c7941f58da64e67f12	Escherichia-Shigella	#NV		0	0						0					
bccc0804dea811499c8589a72e3ccdcd	Bacteroides	#NV		0	0	0										
6c76f87e82451e32cb28b463cc59860c	Clostridium_sensu_stricto_1	#NV		0	0					0						
abb7a8b5f1e16d9658cfdd468ee08a37	unclassified_Enterobacteriaceae	#NV		0	0	0										
537933eb021798eb95f156797b626acb	[Ruminococcus]_gnavus_group	#NV		0	0											
93a323920d63ae8f2f4d452f8607bc5d	Clostridium_sensu_stricto_1	#NV		0	0			0								
7a7212cc52070907e9261dd2ce4a44f7	Clostridium_sensu_stricto_1	#NV		0	0			0	0							
fe36ae14a25f276cd416381f25ef8d78	Escherichia-Shigella	#NV		0	0					0						
48f0d876ee2f7c66d30de34394361f0b	Neisseria	Neisseria		0	0						0	0	0	0	0	0
e7515c5c07770df0aed7af70922f149c	Parabacteroides	#NV		0	0						0					
3e7ead19b125772b4587c86373e33bdb	Erysipelatoclostridium	#NV		0	0							0				
06e840f019c45b2705378d3e0fed067d	Lentimicrobium	#NV		0	0											
81c0a443716e5e4187742da4e57860fc	unclassified_Gemmataceae	#NV		0	0											
e47f05fc67ab1134b7300803ad896cd8	Parabacteroides	#NV		0	0											
63f84f4d4b2644b639a7d1e3d32b3fac	Sideroxydans	#NV		0	0											
5fff4393fccab2f35e55836da4f70378	unclassified_Pla4_lineage	#NV		0	0											
1547e1c203c67b773f73c1fef1072566	unclassified_Blastocatellaceae	#NV		0	0											
60f31eafbe78af21d6d5a07098a3ad62	Intestinibacter	#NV		0	0		0									
a3aa2108aecff18450bbc7ef4529d453	Anaerostipes	#NV		0	0								0			
b485a83a51fa24a548528f49ad75116c	Phaeodactylibacter	#NV		0	0											
33e073bd66435803b6b72ab216b2f0dd	Streptococcus	#NV		0	0											
298279c31eebac0617f1280ecd8bb5ca	Lachnospiraceae_ND3007_group	#NV		0	0											
b481945b57548eea754e7d190ec88836	unclassified_Bacteria	#NV		0	0											
e63ff98745de4866bd411939184dbc5d	Streptococcus	#NV		0	0		0									
73a13f308e4fdced677d9c712024144f	Gemella	#NV		0	0						0					
224102d609b83a172b11bd9115107f16	Porphyromonas	Porphyromonas		0	0	0	0	0	0	0	0	0	0	0	0	0
7da58db581819eaa58944eff8af7bbf3	unclassified_Clostridia_UCG-014	#NV		0	0											0
def568891284ddd0e3294e6cb60cdf4a	unclassified_Lachnospiraceae	#NV		0	0											
ab1700709831b5be090b5f6e9805d567	Candidatus_Methanoplasma	#NV		0	0											
7cb9dada50131a6662b1d444410339f5	Cellvibrio	#NV		0	0											
8ba3f0c27ab7b514843076e746e5b46e	Clostridium_sensu_stricto_1	#NV		0	0											
215fe7e991b286dc877300bbde1cabd1	unclassified_Diplorickettsiaceae	#NV		0	0											
6c5f4f9666d82b1bedf94e99acfe6741	unclassified_Bacillales	#NV		0	0											
f4afbc0396c292292315efaf278a307c	Candidatus_Omnitrophus	#NV		0	0											
e3ac43f0ad560b05540ca00616c3707f	Faecalibacterium	#NV		0	0											
b95ea28934abb136f564d36db880b397	Sutterella	#NV		0	0							0				
82a328d51dd54ed7baea3c1dc264c87d	Streptococcus	#NV		0	0	0										
ceb52ce1c6748de793b701eaf2667bd3	Clostridium_sensu_stricto_1	#NV		0	0			0								
029f7f446eee5549a18a67c811931319	Bifidobacterium	#NV		0	0					0						
571f74cdb4478ac956f8a70be0c9d220	unclassified_Comamonadaceae	#NV		0	0											
120fb8d80d43751bf3358bfed03f8026	Parabacteroides	#NV		0	0			0								
304e196b804e52f5fe382969147e711f	[Ruminococcus]_gnavus_group	#NV		0	0										0	
bca184acc821dc0a69b1ea5ee6ad1129	Veillonella	#NV		0	0							0				
dfec3a15a502880d9a2827795e4e8465	Ruminococcus	#NV		0	0											
0693b1010d47c299bc115bffee4ff4b5	unclassified_Oligoflexia_0319-6G20	#NV		0	0											
76bc23daf74a3c8c1f9e8cd8f81f81d3	Planosporangium	#NV		0	0											
dcb780205dff9735d08f1a23c93470cf	Selenomonas	#NV		0	0											
a00d231aca20d704e6c7d289d58e5563	Gordonia	#NV		0	0											
7799b2453ef8f388c5ce60b9884096e0	[Ruminococcus]_gauvreauii_group	#NV		0	0											
ca6e8c9e4b092b9e0eb5f3cb54ffe8fc	#NV	Neisseria		0	0					0	0	0	0	0	0	0
095dcca0a1cacb655451100eb59c8ef1	Moraxellaceae_[Agitococcus]_lubricus_group	Moraxellaceae_[Agitococcus]_lubricus_group		0	0											
7c8a0f5817400d6be9988ee1c601257b	#NV	Fusobacterium		0	0		0	0	0	0	0	0	0	0	0	0
8238aee540efc5af28ed498f51bd79b5	Truepera	#NV		0	0											
a3a4f736891704f91a0d4fd49764a26d	Candidatus_Nomurabacteria	#NV		0	0											
2432cb69928938e7cd678f23a9d43059	unclassified_Anaerolineae_SBR1031	#NV		0	0											
ec82f2c4e9eecae70096db7dcfa9f562	unclassified_Gammaproteobacteria_Incertae_Sedis	#NV		0	0											
f278701143062813b9855df7e5c03f24	Prevotellaceae_Ga6A1_group	#NV		0	0											
9f2bf0c67b45279cca0f2ebad198aae7	unclassified_Roseiflexaceae	unclassified_Roseiflexaceae		0	0											
a846a0544fa6f3b0cce9cc8e51000dca	Pedobacter	#NV		0	0											
6a3dbd59d647379f00522db82e844575	Neochlamydia	#NV		0	0											
e11646b8cd5faded02d5407c4654b645	[Clostridium]_innocuum_group	#NV		0	0										0	
37ea98e302c122f9d41f93a87399807a	[Eubacterium]_hallii_group	#NV		0	0											
70414b136d49d10a54ff3c10d6f73d9b	unclassified_Enterobacteriaceae	#NV		0	0		0									
49f9a9cb1c0195f84646186ed1293804	Anaerotruncus	#NV		0	0			0								
336d217091042d44a7db64c556f3f8de	Clostridium_sensu_stricto_1	#NV		0	0			0								
126e6ff03a3432101cfca62481c0da5f	Erysipelotrichaceae_UCG-003	#NV		0	0									0		
e4dfad418ab16b74f4f4330f043915c8	Anaerostipes	#NV		0	0										0	
99dfff39ec05bea08a64c4b8dbe3f724	Erysipelotrichaceae_UCG-003	#NV		0	0										0	
09f4169733c70b656f54875362cc237c	Faecalibacterium	#NV		0	0										0	
90a54b2aae5b5835859a270a0140eab5	unclassified_Peptostreptococcaceae	#NV		0	0											0
6969b746181e9527e36a4123c9ff2e7d	Veillonella	#NV		0	0											0
b39d323dd2ad2c3ee889c58ab082f8db	unclassified_Anaerolineaceae	#NV		0	0											
f57d1b9f46e79b44aa715a62c5b08416	unclassified_Vicinamibacteraceae	#NV		0	0											
52580de3ffb693e1070b3b1de262137a	Candidatus_Yanofskybacteria	#NV		0	0											
cee15aadf10b9cf987099007d11b489f	unclassified_Chitinophagales_37-13	#NV		0	0											
96632214dd5709cd68f290b459df9b81	Halomonas	#NV		0	0											
5409e7ed6fd1fad5e8ae75bdaa02f6a9	Tardiphaga	#NV		0	0											
05b8bc239bf25892bd7f83a52b9e427a	Candidatus_Zambryskibacteria	#NV		0	0											
bd7908ecfbf28f5f96578311eddd0719	unclassified_Woesearchaeales	#NV		0	0											
b287a8176214240a981eefa5cd3a100d	unclassified_Vicinamibacterales	#NV		0	0											
31af9b7aeffbb5238fcb77aa2b3f8f30	Nitrosomonadaceae_Ellin6067	#NV		0	0											
e493291caa00677d9d7536573b1517ed	unclassified_Pedosphaeraceae	#NV		0	0											
e8386d3a307c208c4b9f0a756259cd6b	Acinetobacter	Acinetobacter		0	0		0	0	0	0	0	0	0	0	0	0
8023a3b2aae7cb6e1af7437b65fb0bdc	Veillonella	#NV		0	0				0							
222d18c715eebfad1ecb623d2b151258	Peptostreptococcus	#NV		0	0					0						
bfdef6dbf7463a46a67dcee7668c5271	Bifidobacterium	#NV		0	0										0	
cc4fa36d40bc7a4d412d0e7cb87ef853	Sutterellaceae_AAP99	#NV		0	0											
f3d6ea7dc54b92640f4d26b189ac4004	Candidatus_Omnitrophus	#NV		0	0											
902edf78f8f28132e9975facf2c348f0	Streptococcus	#NV		0	0											
76b04f2926749d7c6a2e5beccc1b0005	Cutibacterium	#NV		0	0											
2c024c94405c313f072492fbd2e866ca	Lactobacillus	#NV		0	0								0			
49ecfc61d70a5fbe17e23b2b3b7310c1	Phascolarctobacterium	#NV		0	0						0					
2ae71cedf53f65fad6df45ed5bec5004	Streptococcus	Streptococcus		0	0							0	0			
0e8de51b5da68fdb2f3feef3c0230928	Legionella	#NV		0	0											
9ca567c0023171825e88c3a3176cb131	Butyricicoccus	#NV		0	0										0	
b837c1f3e20aa6d52d1b40d991772525	Parasutterella	#NV		0	0									0		
1e197444a8f2575f83232e9b44379476	Candidatus_Woesebacteria	#NV		0	0											
9dc49034b673adadfc511794c7c225d0	unclassified_Gemmataceae	#NV		0	0											
f33d4bd8644714f8b83634e0a7498a08	Candidatus_Jorgensenbacteria	#NV		0	0											
7beab4f249af89a8aab102a03113ba62	Azospirillum	#NV		0	0											
a54401d12259aed3fa6c66624df6d5f9	Myxococcaceae_P3OB-42	#NV		0	0											
902c4e76c2d4d3b442d976c2482f936a	Brevundimonas	#NV		0	0											
0206361421c8c922cbbac0e52ae93865	Veillonella	#NV		0	0						0					
f8521683cc45853bed16527dace0ca9e	Luedemannella	#NV		0	0											
ab15084dbefe4ca140e061ea1f7c3f5d	Niveispirillum	#NV		0	0											
300bd279e4d8423cd142db0c624ebc96	Neochlamydia	#NV		0	0											
7c1a4e17269f41f459a177097ec6d046	Spirochaeta_2	#NV		0	0											
0b5239e2dbb6d890d8c8d3a70a390e20	Erysipelothrix	#NV		0	0											
9a573d01ebb6a4408384d69740989a8f	unclassified_Pedosphaeraceae	#NV		0	0											
e5c2ad2c41bff93bda48d3c0ae5292eb	Fusicatenibacter	#NV		0	0											0
3e61d237d607384d681b22ff2f30174a	Collinsella	#NV		0	0									0		
bc52d420ee74215ed286fab9f3133954	Dongia	#NV		0	0											
3f1ab4058b00e2a309322ba3cf5e5da1	Kocuria	#NV		0	0											
b997bf03dd8cdf9748a242f1432eaa21	unclassified_Micropepsaceae	#NV		0	0											
a6c422ed19962f63dd67daf47eeac213	unclassified_Woesearchaeales	#NV		0	0											
e52dd92779c8fe28525a56fa6641ba36	Bacteroides	#NV		0	0										0	
fae6d0c5cd2a53341a4ec984541b1541	Fusobacterium	#NV		0	0											0
82b6b13c800633859b139cf0569b4cda	unclassified_Muribaculaceae	#NV		0	0											
3e30ef5b293fe4bffca16587f1cf288b	Epulopiscium	#NV		0	0							0				
f2588cf4a6b598a3639c7c75df2ff03d	unclassified_Pasteurellaceae	#NV		0	0					0						
d50fc1b3b8c353f4cf9e97de2b4a5c53	unclassified_Anaerolineae_SBR1031	#NV		0	0											
0a8d4eae8062cc758687cd48c05a3770	Anaerostipes	#NV		0	0								0			
a5cdbf81a3c5ab360d46357c4f4668a6	unclassified_Isosphaeraceae	#NV		0	0											
46f5ce6c4e8d51ae88c02b78d7ac9602	Novosphingobium	#NV		0	0											
fa190f6e4f16031abdb62965927de78e	Veillonella	#NV		0	0							0				
75748d30d416a3a207019433efe345c2	unclassified_Oligoflexales	#NV		0	0											
45ac67a0abde349ca4b17966beee9f44	Acetobacterium	#NV		0	0											
329f6660110e97924b4e09b0befc94d7	unclassified_Muribaculaceae	#NV		0	0											
31d76d18f2f5b4138a79e8c678659d94	unclassified_Woesearchaeales	#NV		0	0											
ae0dd9e2a66f8ec8ed77efcfaae5d22a	Corynebacterium	#NV		0	0											
b6b928b3be88dbbc13efcf0e40ffbb7f	Monoglobus	#NV		0	0											
