Feature ID	domain	phylum	class	order	family	genus	species	oxygen 3 categories	spores	motility	risk_group
88524108706087f7c75e79d6c10c9c61	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	unclassified_Flavobacterium	1_obligate_aerobe	no	no	1
2d2bbc4cfa8b494a23ea16706372d26c	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	unclassified_Flavobacterium	1_obligate_aerobe	no	no	1
4f5efd25dacb5d639316e7291ff6ff8b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
48f0d876ee2f7c66d30de34394361f0b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
f1860fe716257bd5fd5c4c6a16cf3b95	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
ca6e8c9e4b092b9e0eb5f3cb54ffe8fc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
f7885a9ebb6c25b68504b7dcc1048ffc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
85507f6c3077565eca8cd8985987ae3e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
5f77def9c8d240f25b37419889eabee5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	unclassified_Neisseria	1_obligate_aerobe	no	no	2
d15bd1dcb9de71d7452648673a59f5b8	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	unclassified_Pedobacter	1_obligate_aerobe	no	yes	NA
239d3af5e6b7b40e9ff229ba258348b3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	unclassified_Pedobacter	1_obligate_aerobe	no	yes	NA
29fe849342cb54969a7cebabdf7c0f70	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
43fddf1528d4a98928fd8c3a8ac23bfd	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
f8aeec3c1ff0f4e7e1c829e4db0618d9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
5be91d78ab696679ced932f4a1e106f8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
b4289ab0a9a00034c1fbce477b2c4ded	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
6376ea6dab7d0fde3cd66f53b57e1484	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
78db7fa6b16b73b101fbb8b282b5330e	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
9af3467db68cf6063627304cecd46a65	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
0b36c352632cb1346cdc7d73f9fb376c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas	1_obligate_aerobe	no	yes	1
7d135dfbf857c62673695ef24332b100	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
36ce67b3fecce277df99829617975495	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
2721fd42d5373667f111c60faaf21eac	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
ffc9d018693b20d64830029d0a270441	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
f8bcddaea88eb790743420346bb1bc80	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
4f36923d07cb2d16e8d55a72e76142ff	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
d83f60183d81253a505beaeef3cd168f	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified_Rothia	1_obligate_aerobe	no	no	2
1902045fa7900495d421b8a8f308eb85	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa	1_obligate_aerobe	no	no	2
1739d8f19c1ac366a2138b64b03047a9	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa	1_obligate_aerobe	no	no	2
bd6385fb74493625273841a3e640ae67	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa	1_obligate_aerobe	no	no	2
9ac3bb1d7dedb08a012692a6f536b5af	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified_Sphingomonas	1_obligate_aerobe	no	no	NA
d6efd2da2728fd74ded268122ee05036	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unclassified_Sphingomonas	1_obligate_aerobe	no	no	NA
65d43491988bfe557da4d86a5ba25dae	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	unclassified_Staphylococcus	1_obligate_aerobe	no	no	2
41e6c0b55654af1d5cd503359fb77d18	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	unclassified_Brevundimonas	2_aerobe	no	yes	1
455219eeb206cd432bf64f51159e0b4c	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_durum	2_aerobe	no	no	1
e5c19d7800b18015f3a917fc015fc42f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	unclassified_Enhydrobacter	2_aerobe	no	NA	1
24055c9a3d2b339846662bc114d7f158	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	unclassified_Fluviicola	2_aerobe	no	yes	NA
a5819d0decc23c22ca1e14b525bea265	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unclassified_Massilia	2_aerobe	NA	yes	1
f721d83108dd078d9769b367dfa3c1d9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unclassified_Massilia	2_aerobe	NA	yes	1
4608fae4bbc9964cdd17af8782f2155e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	unclassified_Massilia	2_aerobe	NA	yes	1
48d62bb31a124d859ac51149d778edd9	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter	unclassified_Paeniglutamicibacter	2_aerobe	no	no	1
6db2c97532abe971a75024dfeaf40e9d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	unclassified_Psychrobacter	2_aerobe	no	no	1
08bdc6c81f6b9daab3d132b54e1d45bc	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	unclassified_Rhodococcus	2_aerobe	no	no	1
c1db9ae88ac034254b20b3dea5fe87bc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	unclassified_Simplicispira	2_aerobe	no	yes	NA
153a1c462f6c9cc86cb69c231e968272	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	unclassified_Actinobacillus	3_inbetween	no	NA	1
59f7d8a7f37d6eeec95eb556f33da267	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	unclassified_Actinobacillus	3_inbetween	no	NA	1
36b97543fe5f44e30f46474e8c99f62e	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	unclassified_Arcobacter	3_inbetween	NA	yes	2
2f3da68606254b35e1d68615524c6815	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga_gingivalis	3_inbetween	no	no	2
ce54fd570e2891bb1c24b6b985436151	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	unclassified_Capnocytophaga	3_inbetween	no	no	2
d7926eba30ca0f01bac6fc5d090e9ab9	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	unclassified_Capnocytophaga	3_inbetween	no	no	2
5737e058385a6a34a3bcfdec9f73df47	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	unclassified_Cardiobacterium	3_inbetween	no	no	2
886813d6c66ef41ef648c9b92ffde619	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	unclassified_Corynebacterium	3_inbetween	no	no	1
09f944acc15518b31e5803e1e4cb4e43	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	unclassified_Duganella	3_inbetween	no	yes	1
f37fc1dccfeba0004cbeb4f1ad6083c6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	unclassified_Duganella	3_inbetween	no	yes	1
85c44c83eddc5d3028261a1000b7d0e1	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
5ac528d7d66e5e57a00955fb6d5940af	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
d3d0e820fd85a790a77a79e483eae641	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
6bffd6cb058689058a75523698bef9ba	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
fe9fb62cb91a7d9c4ae68770e5832dac	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
912dd61d8100c732e12c159559cf6431	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
676b2aa5d3bc2cb67fed710d535f9a5b	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
93ff318c5d21b7bb518ac5accafe8bdf	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
1566fc7684b56e86b161b8fb6eb1c5f6	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
54681c21664f388a1cc8334500d11513	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
d23346fdcf9ebe8e57dbd511acaee05d	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified_Gemella	3_inbetween	no	no	NA
ca9c66d47347c03d0343d6fe03ed8636	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
394eda29c886632f514dd94b58381186	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
c8b4f4ac6842214a4c90b85099ae8590	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
c1ad866ca4cc57cefffbfdb11f5388b8	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
34574ccea5b3ac6d72d3c716df898a85	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
287b62ed16ccd672c74ad2b91a471e80	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
240cb795d9d2ee0c4b626498875f9d3e	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
d3969fbd6ba3eab009b93a8a26c50694	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
5462910d31269cd814ee547ac4fbef40	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	unclassified_Haemophilus	3_inbetween	no	NA	2
2ef1e51ab1cf99a3c6417b05a060830e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	unclassified_Lactobacillus	3_inbetween	no	no	1
c845eda99662b5a88a8c8e979ec07dd0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	unclassified_Lautropia	3_inbetween	no	no	1
17ae20a577370dc92154c6b1f5b2a5aa	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
c6d3727100d2f11b93aed61d77fdb738	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
b2238f0b0169bdbc968b5762bfbbbcce	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
2b869347e522205f1c4a919196e6b45b	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
ba430d5e27861988066538a27c3742d0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
f4f346f717f58f140f67800bae07308c	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
5ca52ab8cc2e3b944d812050f15829f5	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
ca8a96332f7acf30d9d883f33de60e12	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
814d36cce47414becceb7665900831e6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
ca070986833cb76ab84070eb40df1975	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	unclassified_Leptotrichia	3_inbetween	no	no	2
8e80ec2ce7273253b1e98358d64aef04	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	unclassified_Moraxella	3_inbetween	no	NA	2
fccd274e718e26b32c71f188d97d9e59	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	unclassified_Paracoccus	3_inbetween	no	yes	NA
c3d4b58fe1f20b718bffce1c0f193134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	unclassified_Paracoccus	3_inbetween	no	yes	NA
8ceae18ee0348d694b1a6f77def3b22e	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Pseudarcobacter	unclassified_Pseudarcobacter	3_inbetween	no	yes	1
b55f5cd81cb98b3cee7a29ec4e00d7f4	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	unclassified_Streptobacillus	3_inbetween	no	no	NA
554345c10941538d3c323777253ee02d	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	unclassified_Trichococcus	3_inbetween	no	no	1
29fbc7e5021229480248fa7466a499a2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	unclassified_Abiotrophia	4_anaerobe	NA	NA	2
0a21726cd4952a96635576553da67787	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	unclassified_Alloprevotella	4_anaerobe	no	no	1
3ee2f30e70c2ec005a999d3e1ef5e83e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	unclassified_Alloprevotella	4_anaerobe	no	no	1
426a58d7fde254d8ff01fac25e36ff0e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	unclassified_Alloprevotella	4_anaerobe	no	no	1
0a857f235b897d7c44e86f0c1b75c69b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	unclassified_Alloprevotella	4_anaerobe	no	no	1
8f0fb68673a8b3c26f3fd210e29b7916	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_13	unclassified_Clostridium_sensu_stricto_13	4_anaerobe	yes	yes	1
942ec60e75a4f9183b9b69cbf8960379	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified_Granulicatella	4_anaerobe	no	no	1
2bd9309f2f97cae51d18d06ea1ca519a	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified_Granulicatella	4_anaerobe	no	no	1
fe6980077c9ad9e21984b28a04ff660a	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified_Granulicatella	4_anaerobe	no	no	1
8cc263c544c7a58c0959f5054f50bd11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified_Granulicatella	4_anaerobe	no	no	1
d8d8a788b8610c45787f8e17d7e11f99	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified_Granulicatella	4_anaerobe	no	no	1
ae16bb9464c4f1a696e7ccadac86425c	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Johnsonella	unclassified_Johnsonella	4_anaerobe	NA	NA	2
0b30c94edf411fbc6ad15cb7a030973d	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Johnsonella	unclassified_Johnsonella	4_anaerobe	NA	NA	2
67a5c29ddb5d1eeda2b8780bb4694235	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	unclassified_Lachnoanaerobaculum	4_anaerobe	yes	no	1
e341d76ffa2250ed506c5fb284abdca6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	unclassified_Lachnoanaerobaculum	4_anaerobe	yes	no	1
a375ce81db65e848c1f762344851193f	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia_hongkongensis	4_anaerobe	no	no	1
8b53c1e7c9d8c5c7f2478c690c456448	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	unclassified_Oribacterium	4_anaerobe	no	yes	1
a046edb519c4e3cbdf77ada497c4d743	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	unclassified_Rhodoferax	4_anaerobe	no	yes	1
d23dcbe0b3e253d3d5f462f07b5bea0b	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	unclassified_Stomatobaculum	4_anaerobe	no	no	1
5a2676b27aa16876cffaca5a4dca4669	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified_Actinomyces	5_obligate anaerobe	no	no	2
df8456a1abbfb4c8a2c450b44378d4cb	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified_Actinomyces	5_obligate anaerobe	no	no	3
732f61386b8757029b0891b0ddde928f	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified_Actinomyces	5_obligate anaerobe	no	no	4
366bb3ddd63d135bec172051cf2cfe0a	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_graevenitzii	5_obligate anaerobe	no	no	2
f9612c98d79c37a803a973724113cef6	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	unclassified_Atopobium	5_obligate anaerobe	NA	no	2
6726c2626997de6acc25552de5f09d82	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	unclassified_Atopobium	5_obligate anaerobe	NA	no	3
35ffcc3b809d667286737d79670b8de5	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	unclassified_Bifidobacterium	5_obligate anaerobe	no	no	1
c6c3ab4e828fb40d6e05967b7aac9338	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	unclassified_Blautia	5_obligate anaerobe	no	no	1
00a96fbd0ac34bfd245f9c24f8737f7d	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	unclassified_Blautia	5_obligate anaerobe	no	no	1
b0b4dde3991e8da02f84cf77e5a35d63	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	unclassified_Campylobacter	5_obligate anaerobe	no	no	2
f5f5e0da89730462abaf6301a9557193	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	unclassified_Faecalibacterium	5_obligate anaerobe	no	no	1
8674dcf0cfe35939037fa9a5b986866f	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	unclassified_Fusobacterium	5_obligate anaerobe	no	no	2
5d047879489ed3ab2b46680099f20df7	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	unclassified_Fusobacterium	5_obligate anaerobe	no	no	2
f4e78e2e397dc8bd3ca2f87c245a8773	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	unclassified_Fusobacterium	5_obligate anaerobe	no	no	2
6f470466d3eca81e322a799e116a719f	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	unclassified_Fusobacterium	5_obligate anaerobe	no	no	2
